competitor_id,region_id,brand_name,showroom_count,market_share_pct,popular_models,service_centers
COMP00083,RG0010,MG Motor,9,15.68,"ZS EV, Comet EV",12
COMP00084,RG0010,Mahindra Electric,5,8.57,"XUV400, BE 6",9
COMP00085,RG0010,BYD,2,3.22,"Atto 3, Seal",3
COMP00086,RG0010,Hyundai,3,5.25,"Kona Electric, Ioniq 5",5
COMP00087,RG0010,Ola Electric,1,2.07,"S1 Pro, S1 Air",2
COMP00088,RG0010,Ather Energy,10,16.97,"450X, Rizta",13
COMP00089,RG0010,TVS,3,5.64,"iQube, X",4
COMP00090,RG0010,Bajaj Auto,11,19.64,"Chetak, GoGo",16
COMP00091,RG0011,Tata Motors,13,14.92,"Nexon EV, Tiago EV, Punch EV",26
COMP00092,RG0011,MG Motor,11,12.38,"ZS EV, Comet EV",17
COMP00093,RG0011,Mahindra Electric,11,12.45,"XUV400, BE 6",22
COMP00094,RG0011,BYD,2,1.94,"Atto 3, Seal",3
COMP00095,RG0011,Hyundai,26,29.37,"Kona Electric, Ioniq 5",52
COMP00096,RG0011,Ola Electric,5,5.18,"S1 Pro, S1 Air",7
COMP00097,RG0011,Ather Energy,2,2.63,"450X, Rizta",4
COMP00098,RG0011,TVS,11,12.73,"iQube, X",18
COMP00099,RG0011,Bajaj Auto,7,8.4,"Chetak, GoGo",12
COMP00100,RG0012,Tata Motors,19,24.21,"Nexon EV, Tiago EV, Punch EV",37
COMP00101,RG0012,MG Motor,10,11.94,"ZS EV, Comet EV",14
COMP00102,RG0012,Mahindra Electric,2,2.01,"XUV400, BE 6",3
COMP00103,RG0012,BYD,3,4.11,"Atto 3, Seal",5
COMP00104,RG0012,Hyundai,6,6.94,"Kona Electric, Ioniq 5",11
COMP00105,RG0012,Ola Electric,15,18.17,"S1 Pro, S1 Air",22
COMP00106,RG0012,Ather Energy,8,9.96,"450X, Rizta",12
COMP00107,RG0012,TVS,12,14.64,"iQube, X",18
COMP00108,RG0012,Bajaj Auto,6,8.02,"Chetak, GoGo",10
COMP00109,RG0013,Tata Motors,13,19.3,"Nexon EV, Tiago EV, Punch EV",23
COMP00110,RG0013,MG Motor,5,7.04,"ZS EV, Comet EV",7
COMP00111,RG0013,Mahindra Electric,6,9.45,"XUV400, BE 6",11
COMP00112,RG0013,BYD,5,7.35,"Atto 3, Seal",7
COMP00113,RG0013,Hyundai,6,8.35,"Kona Electric, Ioniq 5",10
COMP00114,RG0013,Ola Electric,23,34.69,"S1 Pro, S1 Air",32
COMP00115,RG0013,Ather Energy,1,1.34,"450X, Rizta",1
COMP00116,RG0013,TVS,1,1.03,"iQube, X",1
COMP00117,RG0013,Bajaj Auto,8,11.45,"Chetak, GoGo",11
COMP00118,RG0014,Tata Motors,9,9.39,"Nexon EV, Tiago EV, Punch EV",17
COMP00119,RG0014,MG Motor,1,0.77,"ZS EV, Comet EV",1
COMP00120,RG0014,Mahindra Electric,4,4.46,"XUV400, BE 6",8
COMP00121,RG0014,BYD,21,23.06,"Atto 3, Seal",33
COMP00122,RG0014,Hyundai,3,3.36,"Kona Electric, Ioniq 5",6
COMP00123,RG0014,Ola Electric,1,0.74,"S1 Pro, S1 Air",1
COMP00124,RG0014,Ather Energy,20,21.82,"450X, Rizta",32
COMP00125,RG0014,TVS,1,1.32,"iQube, X",2
COMP00126,RG0014,Bajaj Auto,32,35.08,"Chetak, GoGo",51
COMP00127,RG0015,Tata Motors,7,12.47,"Nexon EV, Tiago EV, Punch EV",12
COMP00128,RG0015,MG Motor,15,27.79,"ZS EV, Comet EV",21
COMP00129,RG0015,Mahindra Electric,5,8.72,"XUV400, BE 6",8
COMP00130,RG0015,BYD,5,9.86,"Atto 3, Seal",7
COMP00131,RG0015,Hyundai,4,7.59,"Kona Electric, Ioniq 5",7
COMP00132,RG0015,Ola Electric,4,6.93,"S1 Pro, S1 Air",5
COMP00133,RG0015,Ather Energy,3,6.2,"450X, Rizta",5
COMP00134,RG0015,TVS,6,10.5,"iQube, X",8
COMP00135,RG0015,Bajaj Auto,5,9.94,"Chetak, GoGo",7
COMP00136,RG0016,Tata Motors,8,14.8,"Nexon EV, Tiago EV, Punch EV",14
COMP00137,RG0016,MG Motor,2,4.16,"ZS EV, Comet EV",3
COMP00138,RG0016,Mahindra Electric,5,8.91,"XUV400, BE 6",8
COMP00139,RG0016,BYD,11,20.21,"Atto 3, Seal",15
COMP00140,RG0016,Hyundai,2,3.8,"Kona Electric, Ioniq 5",4
COMP00141,RG0016,Ola Electric,5,9.59,"S1 Pro, S1 Air",7
COMP00142,RG0016,Ather Energy,7,13.12,"450X, Rizta",10
COMP00143,RG0016,TVS,5,9.68,"iQube, X",7
COMP00144,RG0016,Bajaj Auto,8,15.73,"Chetak, GoGo",11
COMP00145,RG0017,Tata Motors,4,7.37,"Nexon EV, Tiago EV, Punch EV",6
COMP00146,RG0017,MG Motor,6,11.02,"ZS EV, Comet EV",7
COMP00147,RG0017,Mahindra Electric,4,8.52,"XUV400, BE 6",7
COMP00148,RG0017,BYD,3,5.31,"Atto 3, Seal",4
COMP00149,RG0017,Hyundai,12,24.17,"Kona Electric, Ioniq 5",21
COMP00150,RG0017,Ola Electric,4,7.23,"S1 Pro, S1 Air",5
COMP00151,RG0017,Ather Energy,4,6.88,"450X, Rizta",5
COMP00152,RG0017,TVS,1,0.76,"iQube, X",1
COMP00153,RG0017,Bajaj Auto,15,28.74,"Chetak, GoGo",19
COMP00154,RG0018,Tata Motors,9,18.54,"Nexon EV, Tiago EV, Punch EV",16
COMP00155,RG0018,MG Motor,3,6.03,"ZS EV, Comet EV",4
COMP00156,RG0018,Mahindra Electric,3,5.84,"XUV400, BE 6",5
COMP00157,RG0018,BYD,4,7.99,"Atto 3, Seal",5
COMP00158,RG0018,Hyundai,7,14.37,"Kona Electric, Ioniq 5",12
COMP00159,RG0018,Ola Electric,10,20.51,"S1 Pro, S1 Air",14
COMP00160,RG0018,Ather Energy,4,7.98,"450X, Rizta",5
COMP00161,RG0018,TVS,3,5.56,"iQube, X",4
COMP00162,RG0018,Bajaj Auto,7,13.18,"Chetak, GoGo",9
COMP00163,RG0019,Tata Motors,17,26.96,"Nexon EV, Tiago EV, Punch EV",31
COMP00164,RG0019,MG Motor,7,10.33,"ZS EV, Comet EV",9
COMP00165,RG0019,Mahindra Electric,12,19.27,"XUV400, BE 6",22
COMP00166,RG0019,BYD,9,13.89,"Atto 3, Seal",13
COMP00167,RG0019,Hyundai,6,9.05,"Kona Electric, Ioniq 5",10
COMP00168,RG0019,Ola Electric,4,5.6,"S1 Pro, S1 Air",5
COMP00169,RG0019,Ather Energy,6,9.5,"450X, Rizta",9
COMP00170,RG0019,TVS,2,2.45,"iQube, X",2
COMP00171,RG0019,Bajaj Auto,2,2.95,"Chetak, GoGo",3
COMP00172,RG0020,Tata Motors,11,15.47,"Nexon EV, Tiago EV, Punch EV",21
COMP00173,RG0020,MG Motor,8,11.15,"ZS EV, Comet EV",12
COMP00174,RG0020,Mahindra Electric,8,10.65,"XUV400, BE 6",14
COMP00175,RG0020,BYD,6,8.12,"Atto 3, Seal",8
COMP00176,RG0020,Hyundai,8,10.86,"Kona Electric, Ioniq 5",14
COMP00177,RG0020,Ola Electric,13,17.44,"S1 Pro, S1 Air",18
COMP00178,RG0020,Ather Energy,6,8.03,"450X, Rizta",8
COMP00179,RG0020,TVS,7,10.05,"iQube, X",10
COMP00180,RG0020,Bajaj Auto,6,8.23,"Chetak, GoGo",9
COMP00181,RG0021,Tata Motors,13,17.68,"Nexon EV, Tiago EV, Punch EV",24
COMP00182,RG0021,MG Motor,5,6.71,"ZS EV, Comet EV",7
COMP00183,RG0021,Mahindra Electric,10,13.19,"XUV400, BE 6",18
COMP00184,RG0021,BYD,2,2.08,"Atto 3, Seal",2
COMP00185,RG0021,Hyundai,14,19.52,"Kona Electric, Ioniq 5",27
COMP00186,RG0021,Ola Electric,2,3.0,"S1 Pro, S1 Air",3
COMP00187,RG0021,Ather Energy,6,8.28,"450X, Rizta",9
COMP00188,RG0021,TVS,11,14.78,"iQube, X",16
COMP00189,RG0021,Bajaj Auto,11,14.76,"Chetak, GoGo",16
COMP00190,RG0022,Tata Motors,22,44.96,"Nexon EV, Tiago EV, Punch EV",37
COMP00191,RG0022,MG Motor,1,0.7,"ZS EV, Comet EV",1
COMP00192,RG0022,Mahindra Electric,3,6.43,"XUV400, BE 6",5
COMP00193,RG0022,BYD,8,16.64,"Atto 3, Seal",11
COMP00194,RG0022,Hyundai,1,2.03,"Kona Electric, Ioniq 5",2
COMP00195,RG0022,Ola Electric,2,3.71,"S1 Pro, S1 Air",2
COMP00196,RG0022,Ather Energy,4,7.51,"450X, Rizta",5
COMP00197,RG0022,TVS,3,6.77,"iQube, X",4
COMP00198,RG0022,Bajaj Auto,6,11.25,"Chetak, GoGo",7
COMP00199,RG0023,Tata Motors,23,25.8,"Nexon EV, Tiago EV, Punch EV",45
COMP00200,RG0023,MG Motor,12,13.99,"ZS EV, Comet EV",19
COMP00201,RG0023,Mahindra Electric,8,8.54,"XUV400, BE 6",15
COMP00202,RG0023,BYD,10,11.51,"Atto 3, Seal",16
COMP00203,RG0023,Hyundai,10,10.9,"Kona Electric, Ioniq 5",19
COMP00204,RG0023,Ola Electric,7,7.5,"S1 Pro, S1 Air",10
COMP00205,RG0023,Ather Energy,16,18.06,"450X, Rizta",25
COMP00206,RG0023,TVS,3,2.98,"iQube, X",4
COMP00207,RG0023,Bajaj Auto,1,0.72,"Chetak, GoGo",1
COMP00208,RG0024,Tata Motors,20,23.36,"Nexon EV, Tiago EV, Punch EV",38
COMP00209,RG0024,MG Motor,9,10.12,"ZS EV, Comet EV",13
COMP00210,RG0024,Mahindra Electric,19,23.15,"XUV400, BE 6",38
COMP00211,RG0024,BYD,3,3.57,"Atto 3, Seal",5
COMP00212,RG0024,Hyundai,8,9.94,"Kona Electric, Ioniq 5",16
COMP00213,RG0024,Ola Electric,6,7.65,"S1 Pro, S1 Air",10
COMP00214,RG0024,Ather Energy,4,4.41,"450X, Rizta",6
COMP00215,RG0024,TVS,3,3.52,"iQube, X",5
COMP00216,RG0024,Bajaj Auto,12,14.28,"Chetak, GoGo",18
COMP00217,RG0025,Tata Motors,5,9.42,"Nexon EV, Tiago EV, Punch EV",9
COMP00218,RG0025,MG Motor,3,5.21,"ZS EV, Comet EV",4
COMP00219,RG0025,Mahindra Electric,8,15.15,"XUV400, BE 6",15
COMP00220,RG0025,BYD,13,22.84,"Atto 3, Seal",17
COMP00221,RG0025,Hyundai,5,8.42,"Kona Electric, Ioniq 5",8
COMP00222,RG0025,Ola Electric,4,7.35,"S1 Pro, S1 Air",6
COMP00223,RG0025,Ather Energy,3,6.16,"450X, Rizta",5
COMP00224,RG0025,TVS,8,15.08,"iQube, X",12
COMP00225,RG0025,Bajaj Auto,6,10.37,"Chetak, GoGo",8
COMP00226,RG0026,Tata Motors,15,21.76,"Nexon EV, Tiago EV, Punch EV",28
COMP00227,RG0026,MG Motor,10,14.74,"ZS EV, Comet EV",15
COMP00228,RG0026,Mahindra Electric,6,8.73,"XUV400, BE 6",11
COMP00229,RG0026,BYD,15,21.09,"Atto 3, Seal",21
COMP00230,RG0026,Hyundai,5,7.14,"Kona Electric, Ioniq 5",9
COMP00231,RG0026,Ola Electric,9,13.21,"S1 Pro, S1 Air",13
COMP00232,RG0026,Ather Energy,3,4.89,"450X, Rizta",5
COMP00233,RG0026,TVS,5,6.6,"iQube, X",7
COMP00234,RG0026,Bajaj Auto,1,1.84,"Chetak, GoGo",2
COMP00235,RG0027,Tata Motors,5,8.01,"Nexon EV, Tiago EV, Punch EV",9
COMP00236,RG0027,MG Motor,5,7.36,"ZS EV, Comet EV",7
COMP00237,RG0027,Mahindra Electric,15,22.77,"XUV400, BE 6",26
COMP00238,RG0027,BYD,6,9.91,"Atto 3, Seal",9
COMP00239,RG0027,Hyundai,5,7.21,"Kona Electric, Ioniq 5",8
COMP00240,RG0027,Ola Electric,9,13.71,"S1 Pro, S1 Air",12
COMP00241,RG0027,Ather Energy,8,13.05,"450X, Rizta",12
COMP00242,RG0027,TVS,5,7.12,"iQube, X",6
COMP00243,RG0027,Bajaj Auto,7,10.86,"Chetak, GoGo",10
COMP00244,RG0028,Tata Motors,17,24.93,"Nexon EV, Tiago EV, Punch EV",32
COMP00245,RG0028,MG Motor,8,11.13,"ZS EV, Comet EV",11
COMP00246,RG0028,Mahindra Electric,5,7.58,"XUV400, BE 6",10
COMP00247,RG0028,BYD,3,3.98,"Atto 3, Seal",4
COMP00248,RG0028,Hyundai,12,17.78,"Kona Electric, Ioniq 5",22
COMP00249,RG0028,Ola Electric,16,22.5,"S1 Pro, S1 Air",22
COMP00250,RG0028,Ather Energy,3,4.22,"450X, Rizta",4
COMP00251,RG0028,TVS,4,6.34,"iQube, X",6
COMP00252,RG0028,Bajaj Auto,1,1.54,"Chetak, GoGo",2
COMP00253,RG0029,Tata Motors,5,5.24,"Nexon EV, Tiago EV, Punch EV",10
COMP00254,RG0029,MG Motor,20,20.82,"ZS EV, Comet EV",31
COMP00255,RG0029,Mahindra Electric,6,6.39,"XUV400, BE 6",12
COMP00256,RG0029,BYD,31,32.67,"Atto 3, Seal",49
COMP00257,RG0029,Hyundai,5,5.74,"Kona Electric, Ioniq 5",11
COMP00258,RG0029,Ola Electric,1,1.26,"S1 Pro, S1 Air",2
COMP00259,RG0029,Ather Energy,4,4.32,"450X, Rizta",7
COMP00260,RG0029,TVS,10,10.69,"iQube, X",16
COMP00261,RG0029,Bajaj Auto,12,12.87,"Chetak, GoGo",19
COMP00262,RG0030,Tata Motors,12,22.14,"Nexon EV, Tiago EV, Punch EV",21
COMP00263,RG0030,MG Motor,2,3.02,"ZS EV, Comet EV",2
COMP00264,RG0030,Mahindra Electric,12,21.12,"XUV400, BE 6",20
COMP00265,RG0030,BYD,10,16.97,"Atto 3, Seal",13
COMP00266,RG0030,Hyundai,11,19.89,"Kona Electric, Ioniq 5",19
COMP00267,RG0030,Ola Electric,5,8.86,"S1 Pro, S1 Air",7
COMP00268,RG0030,Ather Energy,2,2.7,"450X, Rizta",2
COMP00269,RG0030,TVS,2,3.86,"iQube, X",3
COMP00270,RG0030,Bajaj Auto,1,1.44,"Chetak, GoGo",1
COMP00271,RG0031,Tata Motors,7,15.39,"Nexon EV, Tiago EV, Punch EV",12
COMP00272,RG0031,MG Motor,1,0.44,"ZS EV, Comet EV",1
COMP00273,RG0031,Mahindra Electric,1,2.71,"XUV400, BE 6",2
COMP00274,RG0031,BYD,5,11.61,"Atto 3, Seal",7
COMP00275,RG0031,Hyundai,4,9.43,"Kona Electric, Ioniq 5",7
COMP00276,RG0031,Ola Electric,7,15.05,"S1 Pro, S1 Air",9
COMP00277,RG0031,Ather Energy,7,14.52,"450X, Rizta",8
COMP00278,RG0031,TVS,7,14.73,"iQube, X",9
COMP00279,RG0031,Bajaj Auto,7,16.12,"Chetak, GoGo",9
COMP00280,RG0032,Tata Motors,17,21.28,"Nexon EV, Tiago EV, Punch EV",34
COMP00281,RG0032,MG Motor,5,6.62,"ZS EV, Comet EV",8
COMP00282,RG0032,Mahindra Electric,4,5.48,"XUV400, BE 6",9
COMP00283,RG0032,BYD,5,6.43,"Atto 3, Seal",8
COMP00284,RG0032,Hyundai,10,11.59,"Kona Electric, Ioniq 5",18
COMP00285,RG0032,Ola Electric,9,10.59,"S1 Pro, S1 Air",13
COMP00286,RG0032,Ather Energy,11,13.59,"450X, Rizta",17
COMP00287,RG0032,TVS,6,7.25,"iQube, X",9
COMP00288,RG0032,Bajaj Auto,14,17.17,"Chetak, GoGo",21
COMP00289,RG0033,Tata Motors,5,7.26,"Nexon EV, Tiago EV, Punch EV",9
COMP00290,RG0033,MG Motor,9,13.17,"ZS EV, Comet EV",13
COMP00291,RG0033,Mahindra Electric,10,14.81,"XUV400, BE 6",18
COMP00292,RG0033,BYD,16,23.07,"Atto 3, Seal",22
COMP00293,RG0033,Hyundai,6,8.62,"Kona Electric, Ioniq 5",11
COMP00294,RG0033,Ola Electric,5,7.46,"S1 Pro, S1 Air",7
COMP00295,RG0033,Ather Energy,7,10.99,"450X, Rizta",11
COMP00296,RG0033,TVS,1,2.13,"iQube, X",2
COMP00297,RG0033,Bajaj Auto,8,12.49,"Chetak, GoGo",12
COMP00298,RG0034,Tata Motors,3,6.85,"Nexon EV, Tiago EV, Punch EV",5
COMP00299,RG0034,MG Motor,15,31.67,"ZS EV, Comet EV",19
COMP00300,RG0034,Mahindra Electric,4,7.87,"XUV400, BE 6",6
COMP00301,RG0034,BYD,1,1.42,"Atto 3, Seal",1
COMP00302,RG0034,Hyundai,3,5.49,"Kona Electric, Ioniq 5",4
COMP00303,RG0034,Ola Electric,5,11.48,"S1 Pro, S1 Air",7
COMP00304,RG0034,Ather Energy,4,9.06,"450X, Rizta",5
COMP00305,RG0034,TVS,10,20.83,"iQube, X",13
COMP00306,RG0034,Bajaj Auto,2,5.33,"Chetak, GoGo",3
COMP00307,RG0035,Tata Motors,20,35.91,"Nexon EV, Tiago EV, Punch EV",34
COMP00308,RG0035,MG Motor,1,2.1,"ZS EV, Comet EV",2
COMP00309,RG0035,Mahindra Electric,4,6.43,"XUV400, BE 6",6
COMP00310,RG0035,BYD,1,1.77,"Atto 3, Seal",1
COMP00311,RG0035,Hyundai,3,5.94,"Kona Electric, Ioniq 5",6
COMP00312,RG0035,Ola Electric,12,21.59,"S1 Pro, S1 Air",16
COMP00313,RG0035,Ather Energy,2,3.37,"450X, Rizta",2
COMP00314,RG0035,TVS,4,6.8,"iQube, X",5
COMP00315,RG0035,Bajaj Auto,9,16.09,"Chetak, GoGo",12
COMP00316,RG0036,Tata Motors,16,25.08,"Nexon EV, Tiago EV, Punch EV",29
COMP00317,RG0036,MG Motor,5,7.6,"ZS EV, Comet EV",7
COMP00318,RG0036,Mahindra Electric,3,5.44,"XUV400, BE 6",6
COMP00319,RG0036,BYD,17,27.17,"Atto 3, Seal",24
COMP00320,RG0036,Hyundai,5,7.43,"Kona Electric, Ioniq 5",9
COMP00321,RG0036,Ola Electric,5,7.44,"S1 Pro, S1 Air",7
COMP00322,RG0036,Ather Energy,3,4.49,"450X, Rizta",4
COMP00323,RG0036,TVS,8,13.07,"iQube, X",12
COMP00324,RG0036,Bajaj Auto,1,2.28,"Chetak, GoGo",2
COMP00325,RG0037,Tata Motors,27,27.92,"Nexon EV, Tiago EV, Punch EV",50
COMP00326,RG0037,MG Motor,6,5.9,"ZS EV, Comet EV",8
COMP00327,RG0037,Mahindra Electric,10,10.37,"XUV400, BE 6",19
COMP00328,RG0037,BYD,2,2.49,"Atto 3, Seal",4
COMP00329,RG0037,Hyundai,8,7.87,"Kona Electric, Ioniq 5",14
COMP00330,RG0037,Ola Electric,20,21.17,"S1 Pro, S1 Air",30
COMP00331,RG0037,Ather Energy,12,12.87,"450X, Rizta",18
COMP00332,RG0037,TVS,9,8.88,"iQube, X",13
COMP00333,RG0037,Bajaj Auto,2,2.53,"Chetak, GoGo",4
COMP00334,RG0038,Tata Motors,32,33.27,"Nexon EV, Tiago EV, Punch EV",60
COMP00335,RG0038,MG Motor,3,3.08,"ZS EV, Comet EV",4
COMP00336,RG0038,Mahindra Electric,6,5.9,"XUV400, BE 6",11
COMP00337,RG0038,BYD,11,11.42,"Atto 3, Seal",16
COMP00338,RG0038,Hyundai,3,2.99,"Kona Electric, Ioniq 5",5
COMP00339,RG0038,Ola Electric,9,8.92,"S1 Pro, S1 Air",13
COMP00340,RG0038,Ather Energy,11,11.87,"450X, Rizta",17
COMP00341,RG0038,TVS,5,5.55,"iQube, X",8
COMP00342,RG0038,Bajaj Auto,16,17.0,"Chetak, GoGo",24
COMP00343,RG0039,Tata Motors,20,32.96,"Nexon EV, Tiago EV, Punch EV",38
COMP00344,RG0039,MG Motor,5,7.94,"ZS EV, Comet EV",7
COMP00345,RG0039,Mahindra Electric,7,12.1,"XUV400, BE 6",14
COMP00346,RG0039,BYD,7,12.02,"Atto 3, Seal",11
COMP00347,RG0039,Hyundai,3,5.31,"Kona Electric, Ioniq 5",6
COMP00348,RG0039,Ola Electric,6,9.55,"S1 Pro, S1 Air",9
COMP00349,RG0039,Ather Energy,1,1.83,"450X, Rizta",2
COMP00350,RG0039,TVS,4,7.26,"iQube, X",7
COMP00351,RG0039,Bajaj Auto,7,11.03,"Chetak, GoGo",10
COMP00352,RG0040,Tata Motors,8,13.71,"Nexon EV, Tiago EV, Punch EV",16
COMP00353,RG0040,MG Motor,1,0.88,"ZS EV, Comet EV",1
COMP00354,RG0040,Mahindra Electric,5,7.44,"XUV400, BE 6",9
COMP00355,RG0040,BYD,14,23.26,"Atto 3, Seal",21
COMP00356,RG0040,Hyundai,4,6.83,"Kona Electric, Ioniq 5",8
COMP00357,RG0040,Ola Electric,15,23.83,"S1 Pro, S1 Air",21
COMP00358,RG0040,Ather Energy,1,2.05,"450X, Rizta",2
COMP00359,RG0040,TVS,6,10.15,"iQube, X",9
COMP00360,RG0040,Bajaj Auto,7,11.85,"Chetak, GoGo",11
COMP00361,RG0041,Tata Motors,10,16.9,"Nexon EV, Tiago EV, Punch EV",19
COMP00362,RG0041,MG Motor,9,15.28,"ZS EV, Comet EV",14
COMP00363,RG0041,Mahindra Electric,3,5.61,"XUV400, BE 6",6
COMP00364,RG0041,BYD,7,10.68,"Atto 3, Seal",10
COMP00365,RG0041,Hyundai,12,20.49,"Kona Electric, Ioniq 5",24
