charger_id,region_id,city_name,year,quarter,charger_count,fast_charger_count,slow_charger_count,dc_fast_count,average_capacity_kw,operational_status,charger_per_1000_ev,infrastructure_gap_score,charging_readiness_score
C0000076,RG0002,Itanagar,2025,4,89,18,71,8,45.6,Operational,3.44,42.9,58.6
C0000077,RG0002,Itanagar,2026,1,100,21,79,9,48.9,Operational,3.65,39.3,62.3
C0000078,RG0002,Itanagar,2026,2,106,22,84,10,47.3,Operational,3.66,39.8,61.7
C0000079,RG0002,Itanagar,2026,3,112,24,88,11,45.2,Under Construction,3.65,40.6,60.7
C0000080,RG0002,Itanagar,2026,4,120,25,95,11,49.7,Under Construction,3.66,38.9,62.7
C0000081,RG0002,Itanagar,2027,1,134,29,105,13,46.6,Operational,3.87,37.6,63.8
C0000082,RG0002,Itanagar,2027,2,142,31,111,14,48.3,Operational,3.88,36.9,64.6
C0000083,RG0002,Itanagar,2027,3,150,33,117,15,44.5,Under Construction,3.87,38.3,62.9
C0000084,RG0002,Itanagar,2027,4,160,35,125,16,50.5,Under Construction,3.87,36.2,65.4
C0000085,RG0002,Itanagar,2028,1,179,41,138,18,46.7,Operational,4.1,34.9,66.4
C0000086,RG0002,Itanagar,2028,2,189,43,146,19,54.7,Operational,4.1,32.1,69.7
C0000087,RG0002,Itanagar,2028,3,200,46,154,21,49.1,Under Construction,4.1,34.0,67.4
C0000088,RG0002,Itanagar,2028,4,212,49,163,22,50.5,Under Construction,4.09,33.6,67.9
C0000089,RG0002,Itanagar,2029,1,235,56,179,25,56.9,Operational,4.32,28.7,73.1
C0000090,RG0002,Itanagar,2029,2,246,59,187,27,55.2,Operational,4.31,29.4,72.3
C0000091,RG0002,Itanagar,2029,3,259,62,197,28,55.0,Under Construction,4.32,29.4,72.3
C0000092,RG0002,Itanagar,2029,4,274,66,208,30,49.3,Planned,4.32,31.4,69.9
C0000093,RG0002,Itanagar,2030,1,302,76,226,34,51.5,Operational,4.53,28.2,73.2
C0000094,RG0002,Itanagar,2030,2,318,80,238,36,59.1,Operational,4.54,25.4,76.5
C0000095,RG0002,Itanagar,2030,3,335,84,251,38,54.5,Under Construction,4.54,27.0,74.5
C0000096,RG0002,Itanagar,2030,4,355,89,266,40,59.3,Planned,4.53,25.4,76.5
C0000097,RG0003,Dispur,2019,1,1,0,1,0,27.6,Operational,2.31,62.6,38.2
C0000098,RG0003,Dispur,2019,2,2,0,2,0,28.1,Operational,2.25,63.0,37.8
C0000099,RG0003,Dispur,2019,3,3,0,3,0,29.1,Operational,2.21,63.1,37.8
C0000100,RG0003,Dispur,2019,4,5,1,4,0,27.4,Operational,2.54,60.2,40.4
C0000101,RG0003,Dispur,2020,1,6,1,5,0,36.5,Operational,2.39,58.4,43.0
C0000102,RG0003,Dispur,2020,2,8,1,7,0,30.7,Operational,2.56,58.6,42.2
C0000103,RG0003,Dispur,2020,3,10,2,8,1,33.0,Operational,2.66,56.8,44.2
C0000104,RG0003,Dispur,2020,4,12,2,10,1,31.0,Operational,2.65,57.6,43.3
C0000105,RG0003,Dispur,2021,1,14,2,12,1,33.9,Operational,2.71,55.7,45.3
C0000106,RG0003,Dispur,2021,2,16,3,13,1,36.8,Operational,2.74,54.3,46.9
C0000107,RG0003,Dispur,2021,3,18,3,15,1,35.7,Operational,2.73,54.8,46.3
C0000108,RG0003,Dispur,2021,4,21,3,18,1,33.8,Operational,2.82,54.6,46.4
C0000109,RG0003,Dispur,2022,1,25,4,21,2,35.9,Operational,3.01,51.6,49.4
C0000110,RG0003,Dispur,2022,2,28,5,23,2,38.2,Operational,3.04,50.5,50.7
C0000111,RG0003,Dispur,2022,3,30,5,25,2,34.4,Operational,2.95,52.7,48.2
C0000112,RG0003,Dispur,2022,4,34,6,28,3,38.6,Operational,3.01,50.6,50.6
C0000113,RG0003,Dispur,2023,1,40,7,33,3,41.5,Operational,3.24,47.0,54.3
C0000114,RG0003,Dispur,2023,2,43,8,35,4,37.1,Operational,3.21,48.8,52.2
C0000115,RG0003,Dispur,2023,3,47,8,39,4,40.5,Operational,3.23,47.4,53.8
C0000116,RG0003,Dispur,2023,4,51,9,42,4,40.3,Operational,3.21,47.7,53.5
C0000117,RG0003,Dispur,2024,1,58,11,47,5,41.0,Operational,3.42,45.0,56.2
C0000118,RG0003,Dispur,2024,2,62,12,50,5,40.1,Operational,3.43,45.2,55.9
C0000119,RG0003,Dispur,2024,3,66,13,53,6,42.6,Operational,3.42,44.4,56.8
C0000120,RG0003,Dispur,2024,4,71,13,58,6,41.2,Operational,3.42,44.9,56.3
C0000121,RG0003,Dispur,2025,1,81,16,65,7,48.5,Operational,3.65,39.7,61.9
C0000122,RG0003,Dispur,2025,2,86,17,69,8,44.0,Operational,3.64,41.4,59.9
C0000123,RG0003,Dispur,2025,3,93,19,74,9,41.2,Operational,3.67,42.0,59.0
C0000124,RG0003,Dispur,2025,4,100,20,80,9,48.4,Operational,3.65,39.7,61.8
C0000125,RG0003,Dispur,2026,1,113,24,89,11,49.9,Operational,3.89,36.4,65.1
C0000126,RG0003,Dispur,2026,2,119,25,94,11,45.2,Operational,3.86,38.4,62.8
C0000127,RG0003,Dispur,2026,3,127,27,100,12,46.2,Operational,3.89,37.7,63.6
C0000128,RG0003,Dispur,2026,4,136,29,107,13,47.7,Operational,3.88,37.3,64.1
C0000129,RG0003,Dispur,2027,1,152,33,119,15,50.5,Operational,4.08,34.0,67.5
C0000130,RG0003,Dispur,2027,2,162,36,126,16,49.7,Operational,4.11,34.0,67.5
C0000131,RG0003,Dispur,2027,3,172,38,134,17,53.3,Operational,4.11,32.7,69.0
C0000132,RG0003,Dispur,2027,4,184,40,144,18,53.6,Operational,4.09,32.8,68.9
C0000133,RG0003,Dispur,2028,1,206,47,159,21,52.2,Operational,4.32,30.6,70.9
C0000134,RG0003,Dispur,2028,2,218,50,168,22,51.8,Operational,4.32,30.8,70.7
C0000135,RG0003,Dispur,2028,3,231,53,178,24,55.5,Operational,4.31,29.6,72.2
C0000136,RG0003,Dispur,2028,4,246,57,189,26,48.8,Operational,4.31,31.9,69.3
C0000137,RG0003,Dispur,2029,1,273,66,207,30,50.8,Operational,4.54,28.5,72.7
C0000138,RG0003,Dispur,2029,2,288,69,219,31,51.0,Operational,4.53,28.6,72.7
C0000139,RG0003,Dispur,2029,3,304,73,231,33,54.4,Operational,4.54,27.3,74.2
C0000140,RG0003,Dispur,2029,4,323,78,245,35,55.7,Operational,4.54,26.8,74.8
C0000141,RG0003,Dispur,2030,1,355,89,266,40,54.5,Operational,4.76,24.7,76.7
C0000142,RG0003,Dispur,2030,2,372,93,279,42,54.5,Operational,4.75,24.8,76.6
C0000143,RG0003,Dispur,2030,3,391,98,293,44,53.8,Operational,4.75,25.0,76.3
C0000144,RG0003,Dispur,2030,4,415,104,311,47,55.8,Operational,4.75,24.3,77.2
C0000145,RG0004,Patna,2019,1,1,0,1,0,26.8,Operational,2.16,64.4,36.4
C0000146,RG0004,Patna,2019,2,2,0,2,0,29.4,Operational,2.05,64.7,36.3
C0000147,RG0004,Patna,2019,3,3,0,3,0,27.9,Operational,1.99,65.8,35.1
C0000148,RG0004,Patna,2019,4,4,1,3,0,30.3,Operational,1.86,66.4,34.8
C0000149,RG0004,Patna,2020,1,6,1,5,0,35.4,Operational,2.18,61.0,40.4
C0000150,RG0004,Patna,2020,2,8,1,7,0,34.3,Operational,2.39,59.1,42.1
C0000151,RG0004,Patna,2020,3,9,1,8,0,28.1,Operational,2.24,62.9,38.0
C0000152,RG0004,Patna,2020,4,11,2,9,1,35.7,Operational,2.26,60.0,41.3
C0000153,RG0004,Patna,2021,1,14,2,12,1,31.3,Operational,2.51,58.7,42.2
C0000154,RG0004,Patna,2021,2,16,3,13,1,30.1,Operational,2.51,59.1,41.7
C0000155,RG0004,Patna,2021,3,18,3,15,1,35.8,Operational,2.49,57.3,43.9
C0000156,RG0004,Patna,2021,4,20,3,17,1,35.8,Operational,2.44,57.9,43.4
C0000157,RG0004,Patna,2022,1,25,4,21,2,38.8,Operational,2.75,53.3,48.0
C0000158,RG0004,Patna,2022,2,27,5,22,2,40.3,Operational,2.7,53.3,48.2
C0000159,RG0004,Patna,2022,3,30,5,25,2,40.2,Operational,2.74,52.9,48.5
C0000160,RG0004,Patna,2022,4,33,6,27,3,35.1,Operational,2.72,54.9,46.2
C0000161,RG0004,Patna,2023,1,39,7,32,3,37.9,Operational,2.97,51.0,50.1
C0000162,RG0004,Patna,2023,2,42,8,34,4,38.5,Operational,2.97,50.8,50.4
C0000163,RG0004,Patna,2023,3,45,8,37,4,42.1,Operational,2.94,49.9,51.6
C0000164,RG0004,Patna,2023,4,49,9,40,4,42.2,Operational,2.93,50.0,51.5
C0000165,RG0004,Patna,2024,1,57,11,46,5,44.4,Operational,3.17,46.4,55.1
C0000166,RG0004,Patna,2024,2,61,12,49,5,43.8,Operational,3.16,46.7,54.7
C0000167,RG0004,Patna,2024,3,66,13,53,6,38.5,Operational,3.18,48.4,52.7
C0000168,RG0004,Patna,2024,4,71,13,58,6,41.7,Operational,3.16,47.5,53.9
C0000169,RG0004,Patna,2025,1,81,16,65,7,43.0,Operational,3.38,44.5,56.9
C0000170,RG0004,Patna,2025,2,86,17,69,8,43.2,Operational,3.37,44.5,56.8
C0000171,RG0004,Patna,2025,3,92,18,74,8,46.6,Operational,3.38,43.2,58.4
C0000172,RG0004,Patna,2025,4,99,20,79,9,39.9,Operational,3.39,45.4,55.7
C0000173,RG0004,Patna,2026,1,111,23,88,10,44.7,Operational,3.58,41.5,59.8
C0000174,RG0004,Patna,2026,2,119,25,94,11,43.9,Operational,3.61,41.5,59.8
C0000175,RG0004,Patna,2026,3,126,26,100,12,44.6,Under Construction,3.59,41.4,59.9
C0000176,RG0004,Patna,2026,4,135,28,107,13,42.4,Under Construction,3.59,42.2,59.0
C0000177,RG0004,Patna,2027,1,151,33,118,15,50.1,Operational,3.82,36.9,64.7
C0000178,RG0004,Patna,2027,2,159,35,124,16,49.6,Operational,3.82,37.0,64.5
C0000179,RG0004,Patna,2027,3,168,37,131,17,50.9,Under Construction,3.82,36.6,65.1
C0000180,RG0004,Patna,2027,4,178,39,139,18,49.5,Under Construction,3.81,37.2,64.4
C0000181,RG0004,Patna,2028,1,198,46,152,21,52.4,Operational,4.03,33.6,68.1
C0000182,RG0004,Patna,2028,2,208,48,160,22,53.7,Operational,4.03,33.1,68.6
C0000183,RG0004,Patna,2028,3,219,50,169,22,49.5,Under Construction,4.04,34.5,66.9
C0000184,RG0004,Patna,2028,4,232,53,179,24,54.5,Under Construction,4.04,32.8,69.0
C0000185,RG0004,Patna,2029,1,257,62,195,28,56.8,Operational,4.25,29.5,72.4
C0000186,RG0004,Patna,2029,2,270,65,205,29,50.5,Operational,4.25,31.7,69.7
C0000187,RG0004,Patna,2029,3,284,68,216,31,56.8,Under Construction,4.25,29.5,72.4
C0000188,RG0004,Patna,2029,4,301,72,229,32,54.3,Planned,4.25,30.4,71.3
C0000189,RG0004,Patna,2030,1,333,83,250,37,56.3,Operational,4.47,27.1,74.6
C0000190,RG0004,Patna,2030,2,351,88,263,40,56.7,Operational,4.48,26.9,74.9
C0000191,RG0004,Patna,2030,3,371,93,278,42,52.7,Under Construction,4.47,28.4,73.1
C0000192,RG0004,Patna,2030,4,393,98,295,44,53.9,Planned,4.47,28.0,73.6
C0000193,RG0005,Raipur,2019,1,1,0,1,0,33.5,Operational,2.01,63.7,37.7
C0000194,RG0005,Raipur,2019,2,2,0,2,0,30.5,Operational,2.02,64.6,36.5
C0000195,RG0005,Raipur,2019,3,4,1,3,0,33.5,Operational,2.61,57.4,43.7
C0000196,RG0005,Raipur,2019,4,5,1,4,0,33.6,Operational,2.27,60.9,40.3
C0000197,RG0005,Raipur,2020,1,7,1,6,0,37.7,Operational,2.47,57.1,44.3
C0000198,RG0005,Raipur,2020,2,9,1,8,0,34.8,Operational,2.6,56.8,44.4
C0000199,RG0005,Raipur,2020,3,11,2,9,1,33.8,Operational,2.63,56.8,44.2
C0000200,RG0005,Raipur,2020,4,13,2,11,1,30.3,Operational,2.6,58.3,42.5
C0000201,RG0005,Raipur,2021,1,17,3,14,1,38.6,Operational,2.93,51.7,49.5
C0000202,RG0005,Raipur,2021,2,19,3,16,1,34.4,Operational,2.88,53.7,47.2
C0000203,RG0005,Raipur,2021,3,21,3,18,1,36.4,Operational,2.79,54.0,47.2
C0000204,RG0005,Raipur,2021,4,25,4,21,2,35.2,Operational,2.9,53.2,47.8
C0000205,RG0005,Raipur,2022,1,29,5,24,2,39.3,Operational,3.05,50.0,51.3
C0000206,RG0005,Raipur,2022,2,32,5,27,2,41.7,Operational,3.08,48.8,52.6
C0000207,RG0005,Raipur,2022,3,35,6,29,3,39.3,Operational,3.07,49.8,51.5
C0000208,RG0005,Raipur,2022,4,39,7,32,3,41.8,Operational,3.1,48.6,52.8
C0000209,RG0005,Raipur,2023,1,45,8,37,4,42.1,Operational,3.27,46.4,54.9
C0000210,RG0005,Raipur,2023,2,49,9,40,4,39.1,Operational,3.3,47.2,53.9
C0000211,RG0005,Raipur,2023,3,53,10,43,4,42.2,Operational,3.3,46.1,55.2
C0000212,RG0005,Raipur,2023,4,58,10,48,4,41.5,Operational,3.29,46.4,54.8
C0000213,RG0005,Raipur,2024,1,66,13,53,6,42.7,Operational,3.48,43.8,57.5
C0000214,RG0005,Raipur,2024,2,71,13,58,6,40.0,Operational,3.5,44.5,56.5
C0000215,RG0005,Raipur,2024,3,76,14,62,6,45.4,Operational,3.49,42.7,58.7
C0000216,RG0005,Raipur,2024,4,83,16,67,7,39.4,Operational,3.52,44.5,56.5
C0000217,RG0005,Raipur,2025,1,95,19,76,9,49.2,Operational,3.74,38.5,63.1
C0000218,RG0005,Raipur,2025,2,102,20,82,9,41.6,Operational,3.75,41.1,60.0
C0000219,RG0005,Raipur,2025,3,109,22,87,10,45.3,Operational,3.73,40.0,61.3
C0000220,RG0005,Raipur,2025,4,118,24,94,11,45.0,Operational,3.74,40.0,61.3
C0000221,RG0005,Raipur,2026,1,133,28,105,13,46.8,Operational,3.94,37.0,64.3
C0000222,RG0005,Raipur,2026,2,142,30,112,14,51.7,Operational,3.95,35.2,66.5
C0000223,RG0005,Raipur,2026,3,151,32,119,14,50.3,Operational,3.94,35.8,65.8
C0000224,RG0005,Raipur,2026,4,163,34,129,15,44.4,Operational,3.95,37.7,63.4
C0000225,RG0005,Raipur,2027,1,183,40,143,18,51.8,Operational,4.17,32.6,69.0
C0000226,RG0005,Raipur,2027,2,194,43,151,19,46.4,Operational,4.17,34.5,66.7
C0000227,RG0005,Raipur,2027,3,206,45,161,20,48.5,Operational,4.16,33.8,67.5
C0000228,RG0005,Raipur,2027,4,221,49,172,22,48.9,Operational,4.17,33.6,67.7
C0000229,RG0005,Raipur,2028,1,245,56,189,25,53.6,Operational,4.38,29.5,72.1
C0000230,RG0005,Raipur,2028,2,259,60,199,27,49.1,Operational,4.39,31.0,70.3
C0000231,RG0005,Raipur,2028,3,273,63,210,28,53.7,Operational,4.39,29.4,72.2
C0000232,RG0005,Raipur,2028,4,290,67,223,30,48.5,Operational,4.38,31.3,69.9
C0000233,RG0005,Raipur,2029,1,323,78,245,35,51.4,Operational,4.6,27.7,73.6
C0000234,RG0005,Raipur,2029,2,343,82,261,37,54.9,Operational,4.6,26.5,75.1
C0000235,RG0005,Raipur,2029,3,365,88,277,40,50.9,Operational,4.61,27.8,73.5
C0000236,RG0005,Raipur,2029,4,388,93,295,42,53.9,Operational,4.6,26.8,74.6
C0000237,RG0005,Raipur,2030,1,430,108,322,49,59.0,Operational,4.83,22.4,79.3
C0000238,RG0005,Raipur,2030,2,453,113,340,51,60.6,Operational,4.83,21.8,80.0
C0000239,RG0005,Raipur,2030,3,478,120,358,54,57.9,Operational,4.83,22.8,78.9
C0000240,RG0005,Raipur,2030,4,508,127,381,57,54.1,Operational,4.83,24.1,77.3
C0000241,RG0006,Panaji,2019,1,2,0,2,0,32.7,Operational,3.32,50.2,50.4
C0000242,RG0006,Panaji,2019,2,4,1,3,0,32.2,Operational,3.21,51.5,49.1
C0000243,RG0006,Panaji,2019,3,6,1,5,0,34.6,Operational,3.08,52.0,48.8
C0000244,RG0006,Panaji,2019,4,9,1,8,0,36.0,Operational,3.22,50.1,50.8
C0000245,RG0006,Panaji,2020,1,12,2,10,1,33.7,Operational,3.34,49.4,51.3
C0000246,RG0006,Panaji,2020,2,15,2,13,1,38.1,Operational,3.38,47.4,53.6
C0000247,RG0006,Panaji,2020,3,18,3,15,1,33.2,Operational,3.38,49.1,51.5
C0000248,RG0006,Panaji,2020,4,22,3,19,1,37.3,Operational,3.43,47.2,53.7
C0000249,RG0006,Panaji,2021,1,26,4,22,2,36.2,Operational,3.55,46.1,54.7
C0000250,RG0006,Panaji,2021,2,30,5,25,2,37.6,Operational,3.61,44.9,55.9
C0000251,RG0006,Panaji,2021,3,34,5,29,2,41.4,Operational,3.62,43.5,57.6
C0000252,RG0006,Panaji,2021,4,38,6,32,3,38.6,Operational,3.54,45.3,55.6
C0000253,RG0006,Panaji,2022,1,45,8,37,4,42.1,Operational,3.79,41.2,59.8
C0000254,RG0006,Panaji,2022,2,49,8,41,4,44.4,Operational,3.77,40.6,60.6
C0000255,RG0006,Panaji,2022,3,54,9,45,4,39.5,Operational,3.79,42.1,58.7
C0000256,RG0006,Panaji,2022,4,60,10,50,4,38.3,Operational,3.78,42.7,58.1
C0000257,RG0006,Panaji,2023,1,70,13,57,6,44.7,Operational,4.04,37.4,63.7
C0000258,RG0006,Panaji,2023,2,76,14,62,6,44.9,Operational,4.04,37.4,63.8
C0000259,RG0006,Panaji,2023,3,82,15,67,7,42.8,Operational,4.01,38.4,62.6
C0000260,RG0006,Panaji,2023,4,90,16,74,7,44.2,Operational,3.99,38.1,63.0
C0000261,RG0006,Panaji,2024,1,103,20,83,9,44.2,Operational,4.24,35.3,65.7
C0000262,RG0006,Panaji,2024,2,111,21,90,9,43.9,Operational,4.24,35.4,65.6
C0000263,RG0006,Panaji,2024,3,119,23,96,10,46.5,Operational,4.23,34.6,66.6
C0000264,RG0006,Panaji,2024,4,129,25,104,11,46.9,Operational,4.23,34.4,66.7
C0000265,RG0006,Panaji,2025,1,147,29,118,13,48.9,Operational,4.46,31.1,70.1
C0000266,RG0006,Panaji,2025,2,158,32,126,14,50.2,Operational,4.45,30.7,70.6
C0000267,RG0006,Panaji,2025,3,170,34,136,15,47.4,Operational,4.44,31.8,69.3
C0000268,RG0006,Panaji,2025,4,185,37,148,17,44.4,Operational,4.45,32.7,68.1
C0000269,RG0006,Panaji,2026,1,207,43,164,19,46.7,Operational,4.68,29.3,71.7
C0000270,RG0006,Panaji,2026,2,221,46,175,21,49.7,Operational,4.67,28.3,72.8
C0000271,RG0006,Panaji,2026,3,237,50,187,22,53.0,Operational,4.68,27.1,74.3
C0000272,RG0006,Panaji,2026,4,255,54,201,24,49.8,Operational,4.68,28.2,73.0
C0000273,RG0006,Panaji,2027,1,283,62,221,28,49.9,Operational,4.89,25.7,75.4
C0000274,RG0006,Panaji,2027,2,301,66,235,30,48.6,Operational,4.89,26.1,74.8
C0000275,RG0006,Panaji,2027,3,319,70,249,32,52.1,Operational,4.9,24.8,76.4
C0000276,RG0006,Panaji,2027,4,340,75,265,34,55.8,Operational,4.89,23.6,77.8
C0000277,RG0006,Panaji,2028,1,379,87,292,39,54.2,Operational,5.12,21.5,79.7
C0000278,RG0006,Panaji,2028,2,401,92,309,41,53.7,Operational,5.12,21.7,79.5
C0000279,RG0006,Panaji,2028,3,424,98,326,44,55.2,Operational,5.11,21.3,80.0
C0000280,RG0006,Panaji,2028,4,455,105,350,47,53.2,Operational,5.12,21.9,79.3
C0000281,RG0006,Panaji,2029,1,502,120,382,54,54.6,Operational,5.33,18.9,82.2
C0000282,RG0006,Panaji,2029,2,532,128,404,58,56.2,Operational,5.33,18.4,82.9
C0000283,RG0006,Panaji,2029,3,565,136,429,61,59.5,Operational,5.34,17.1,84.4
C0000284,RG0006,Panaji,2029,4,604,145,459,65,59.4,Operational,5.33,17.2,84.2
C0000285,RG0006,Panaji,2030,1,667,167,500,75,61.5,Operational,5.55,13.9,87.6
C0000286,RG0006,Panaji,2030,2,707,177,530,80,59.1,Operational,5.56,14.7,86.7
