sales_id,region_id,year,quarter,ev_sales,ev_registrations,total_vehicle_registrations,ev_penetration_pct,yoy_growth_pct,cagr_3yr,ev_market_maturity,ev_growth_segment,ev_adoption_stage
S0000020,RG0001,2023,4,2316,27150,652566,4.16,26.35,17.96,Scaling,High,Growth
S0000021,RG0001,2024,1,2255,29405,643365,4.57,23.29,28.73,Scaling,Moderate,Growth
S0000022,RG0001,2024,2,2251,31656,680701,4.65,24.57,26.01,Scaling,Moderate,Growth
S0000023,RG0001,2024,3,2444,34100,720854,4.73,20.22,24.38,Scaling,Moderate,Growth
S0000024,RG0001,2024,4,3151,37251,774369,4.81,36.05,28.04,Scaling,High,Growth
S0000025,RG0001,2025,1,2908,40159,769256,5.22,28.96,29.15,Scaling,High,Growth
S0000026,RG0001,2025,2,3075,43234,815659,5.3,36.61,30.42,Scaling,High,Growth
S0000027,RG0001,2025,3,3374,46608,866239,5.38,38.05,29.29,Scaling,High,Growth
S0000028,RG0001,2025,4,3887,50495,924732,5.46,23.36,28.47,Scaling,Moderate,Growth
S0000029,RG0001,2026,1,3683,54178,922886,5.87,26.65,26.28,Scaling,High,Growth
S0000030,RG0001,2026,2,3766,57944,973767,5.95,22.47,27.73,Scaling,Moderate,Growth
S0000031,RG0001,2026,3,4274,62218,1031722,6.03,26.67,28.1,Scaling,High,Growth
S0000032,RG0001,2026,4,4829,67047,1097242,6.11,24.23,27.75,Scaling,Moderate,Growth
S0000033,RG0001,2027,1,4107,71154,1091235,6.52,11.51,22.12,Scaling,Moderate,Growth
S0000034,RG0001,2027,2,4372,75526,1144247,6.6,16.09,24.77,Scaling,Moderate,Growth
S0000035,RG0001,2027,3,4601,80127,1199416,6.68,7.65,23.48,Scaling,Low,Growth
S0000036,RG0001,2027,4,5517,85644,1266829,6.76,14.25,20.53,Scaling,Moderate,Growth
S0000037,RG0001,2028,1,5755,91399,1274653,7.17,40.13,25.55,Scaling,High,Growth
S0000038,RG0001,2028,2,6234,97633,1346569,7.25,42.59,26.56,Scaling,High,Growth
S0000039,RG0001,2028,3,6547,104180,1421185,7.33,42.3,24.73,Scaling,High,Growth
S0000040,RG0001,2028,4,7524,111704,1507375,7.41,36.38,24.63,Scaling,High,Growth
S0000041,RG0001,2029,1,7448,119152,1523585,7.82,29.42,26.46,Scaling,High,Accelerated
S0000042,RG0001,2029,2,7370,126522,1601443,7.9,18.22,25.08,Scaling,Moderate,Accelerated
S0000043,RG0001,2029,3,8154,134676,1687563,7.98,24.55,24.03,Scaling,Moderate,Accelerated
S0000044,RG0001,2029,4,9561,144237,1789430,8.06,27.07,25.57,Mature,High,Accelerated
S0000045,RG0001,2030,1,7872,152109,1795750,8.47,5.69,24.22,Mature,Low,Accelerated
S0000046,RG0001,2030,2,9036,161145,1884627,8.55,22.61,27.38,Mature,Moderate,Accelerated
S0000047,RG0001,2030,3,9136,170281,1973014,8.63,12.04,25.69,Mature,Moderate,Accelerated
S0000048,RG0001,2030,4,11446,181727,2086298,8.71,19.72,27.54,Mature,Moderate,Accelerated
S0000049,RG0002,2019,1,428,428,52596,0.81,0.0,0.0,Early,Low,Pilot
S0000050,RG0002,2019,2,421,849,94993,0.89,0.0,0.0,Early,Low,Pilot
S0000051,RG0002,2019,3,465,1314,134942,0.97,0.0,0.0,Early,Low,Pilot
S0000052,RG0002,2019,4,577,1891,179454,1.05,0.0,0.0,Early,Low,Early Adoption
S0000053,RG0002,2020,1,560,2451,167447,1.46,30.84,0.0,Early,High,Early Adoption
S0000054,RG0002,2020,2,587,3038,196794,1.54,39.43,0.0,Emerging,High,Early Adoption
S0000055,RG0002,2020,3,640,3678,226513,1.62,37.63,0.0,Emerging,High,Early Adoption
S0000056,RG0002,2020,4,747,4425,259721,1.7,29.46,0.0,Emerging,High,Early Adoption
S0000057,RG0002,2021,1,587,5012,237114,2.11,4.82,0.0,Emerging,Low,Early Adoption
S0000058,RG0002,2021,2,617,5629,256593,2.19,5.11,0.0,Emerging,Low,Early Adoption
S0000059,RG0002,2021,3,633,6262,275404,2.27,-1.09,0.0,Emerging,Low,Early Adoption
S0000060,RG0002,2021,4,798,7060,299947,2.35,6.83,0.0,Emerging,Low,Early Adoption
S0000061,RG0002,2022,1,755,7815,282768,2.76,28.62,20.83,Emerging,High,Early Adoption
S0000062,RG0002,2022,2,817,8632,303543,2.84,32.41,24.73,Emerging,High,Early Adoption
S0000063,RG0002,2022,3,859,9491,324617,2.92,35.7,22.7,Emerging,High,Early Adoption
S0000064,RG0002,2022,4,1016,10507,349796,3.0,27.32,20.76,Emerging,High,Early Adoption
S0000065,RG0002,2023,1,905,11412,334295,3.41,19.87,17.35,Emerging,Moderate,Early Adoption
S0000066,RG0002,2023,2,959,12371,354089,3.49,17.38,17.78,Emerging,Moderate,Early Adoption
S0000067,RG0002,2023,3,1021,13392,374732,3.57,18.86,16.85,Emerging,Moderate,Growth
S0000068,RG0002,2023,4,1280,14672,401560,3.65,25.98,19.66,Emerging,High,Growth
S0000069,RG0002,2024,1,1096,15768,388016,4.06,21.1,23.14,Scaling,Moderate,Growth
S0000070,RG0002,2024,2,1187,16955,409170,4.14,23.77,24.37,Scaling,Moderate,Growth
S0000071,RG0002,2024,3,1254,18209,431110,4.22,22.82,25.59,Scaling,Moderate,Growth
S0000072,RG0002,2024,4,1412,19621,455905,4.3,10.31,20.95,Scaling,Moderate,Growth
S0000073,RG0002,2025,1,1301,20922,443850,4.71,18.7,19.89,Scaling,Moderate,Growth
S0000074,RG0002,2025,2,1455,22377,466795,4.79,22.58,21.21,Scaling,Moderate,Growth
S0000075,RG0002,2025,3,1540,23917,490731,4.87,22.81,21.48,Scaling,Moderate,Growth
S0000076,RG0002,2025,4,1936,25853,521887,4.95,37.11,23.98,Scaling,High,Growth
S0000077,RG0002,2026,1,1544,27397,510781,5.36,18.68,19.49,Scaling,Moderate,Growth
S0000078,RG0002,2026,2,1597,28994,532611,5.44,9.76,18.53,Scaling,Low,Growth
S0000079,RG0002,2026,3,1719,30713,556017,5.52,11.62,18.96,Scaling,Moderate,Growth
S0000080,RG0002,2026,4,2073,32786,585072,5.6,7.08,17.43,Scaling,Low,Growth
S0000081,RG0002,2027,1,1803,34589,575165,6.01,16.77,18.05,Scaling,Moderate,Growth
S0000082,RG0002,2027,2,2012,36601,600632,6.09,25.99,19.23,Scaling,High,Growth
S0000083,RG0002,2027,3,2173,38774,628046,6.17,26.41,20.11,Scaling,High,Growth
S0000084,RG0002,2027,4,2545,41319,660708,6.25,22.77,21.7,Scaling,Moderate,Growth
S0000085,RG0002,2028,1,2384,43703,655832,6.66,32.22,22.37,Scaling,High,Growth
S0000086,RG0002,2028,2,2435,46138,684159,6.74,21.02,18.73,Scaling,Moderate,Growth
S0000087,RG0002,2028,3,2594,48732,714153,6.82,19.37,18.98,Scaling,Moderate,Growth
S0000088,RG0002,2028,4,3074,51806,750404,6.9,20.79,16.66,Scaling,Moderate,Growth
S0000089,RG0002,2029,1,2556,54362,743285,7.31,7.21,18.3,Scaling,Low,Growth
S0000090,RG0002,2029,2,2731,57093,772179,7.39,12.16,19.58,Scaling,Moderate,Growth
S0000091,RG0002,2029,3,2893,59986,802623,7.47,11.53,18.95,Scaling,Moderate,Growth
S0000092,RG0002,2029,4,3424,63410,839451,7.55,11.39,18.21,Scaling,Moderate,Accelerated
S0000093,RG0002,2030,1,3240,66650,836917,7.96,26.76,21.58,Scaling,High,Accelerated
S0000094,RG0002,2030,2,3389,70039,870726,8.04,24.09,18.98,Mature,Moderate,Accelerated
S0000095,RG0002,2030,3,3737,73776,908152,8.12,29.17,19.81,Mature,High,Accelerated
S0000096,RG0002,2030,4,4627,78403,955697,8.2,35.13,22.05,Mature,High,Accelerated
S0000097,RG0003,2019,1,433,433,48938,0.88,0.0,0.0,Early,Low,Pilot
S0000098,RG0003,2019,2,454,887,91936,0.96,0.0,0.0,Early,Low,Pilot
S0000099,RG0003,2019,3,472,1359,130073,1.04,0.0,0.0,Early,Low,Early Adoption
S0000100,RG0003,2019,4,608,1967,174876,1.12,0.0,0.0,Early,Low,Early Adoption
S0000101,RG0003,2020,1,548,2515,163865,1.53,26.56,0.0,Emerging,High,Early Adoption
S0000102,RG0003,2020,2,604,3119,193151,1.61,33.04,0.0,Emerging,High,Early Adoption
S0000103,RG0003,2020,3,639,3758,221737,1.69,35.38,0.0,Emerging,High,Early Adoption
S0000104,RG0003,2020,4,772,4530,255240,1.77,26.97,0.0,Emerging,High,Early Adoption
S0000105,RG0003,2021,1,641,5171,236681,2.18,16.97,0.0,Emerging,Moderate,Early Adoption
S0000106,RG0003,2021,2,663,5834,257594,2.26,9.77,0.0,Emerging,Low,Early Adoption
S0000107,RG0003,2021,3,754,6588,280962,2.34,18.0,0.0,Emerging,Moderate,Early Adoption
S0000108,RG0003,2021,4,849,7437,306706,2.42,9.97,0.0,Emerging,Low,Early Adoption
S0000109,RG0003,2022,1,868,8305,292966,2.83,35.41,26.09,Emerging,High,Early Adoption
S0000110,RG0003,2022,2,891,9196,315493,2.91,34.39,25.2,Emerging,High,Early Adoption
S0000111,RG0003,2022,3,990,10186,340123,2.99,31.3,28.01,Emerging,High,Early Adoption
S0000112,RG0003,2022,4,1119,11305,367666,3.07,31.8,22.55,Emerging,High,Early Adoption
S0000113,RG0003,2023,1,1057,12362,354741,3.48,21.77,24.48,Emerging,Moderate,Early Adoption
S0000114,RG0003,2023,2,1051,13413,376262,3.56,17.96,20.28,Emerging,Moderate,Growth
S0000115,RG0003,2023,3,1136,14549,399171,3.64,14.75,21.14,Emerging,Moderate,Growth
S0000116,RG0003,2023,4,1319,15868,426009,3.72,17.87,19.55,Emerging,Moderate,Growth
S0000117,RG0003,2024,1,1101,16969,410395,4.13,4.16,19.76,Scaling,Low,Growth
S0000118,RG0003,2024,2,1129,18098,429392,4.21,7.42,19.42,Scaling,Low,Growth
S0000119,RG0003,2024,3,1217,19315,449730,4.29,7.13,17.3,Scaling,Low,Growth
S0000120,RG0003,2024,4,1447,20762,474582,4.37,9.7,19.45,Scaling,Low,Growth
S0000121,RG0003,2025,1,1405,22167,463280,4.78,27.61,17.41,Scaling,High,Growth
S0000122,RG0003,2025,2,1447,23614,485405,4.86,28.17,17.54,Scaling,High,Growth
S0000123,RG0003,2025,3,1716,25330,512255,4.94,41.0,20.12,Scaling,High,Growth
S0000124,RG0003,2025,4,2085,27415,545594,5.02,44.09,23.05,Scaling,High,Growth
S0000125,RG0003,2026,1,1655,29070,534886,5.43,17.79,16.12,Scaling,Moderate,Growth
S0000126,RG0003,2026,2,1751,30821,558878,5.51,21.01,18.55,Scaling,Moderate,Growth
S0000127,RG0003,2026,3,1867,32688,584257,5.59,8.8,18.01,Scaling,Low,Growth
S0000128,RG0003,2026,4,2390,35078,618136,5.67,14.63,21.91,Scaling,Moderate,Growth
S0000129,RG0003,2027,1,2162,37240,612017,6.08,30.63,25.22,Scaling,High,Growth
S0000130,RG0003,2027,2,2211,39451,639940,6.16,26.27,25.11,Scaling,High,Growth
S0000131,RG0003,2027,3,2443,41894,670862,6.24,30.85,26.15,Scaling,High,Growth
S0000132,RG0003,2027,4,3111,45005,711564,6.32,30.17,29.07,Scaling,High,Growth
S0000133,RG0003,2028,1,2701,47706,708351,6.73,24.93,24.34,Scaling,Moderate,Growth
S0000134,RG0003,2028,2,2732,50438,740124,6.81,23.56,23.6,Scaling,Moderate,Growth
S0000135,RG0003,2028,3,3200,53638,777949,6.89,30.99,23.09,Scaling,High,Growth
S0000136,RG0003,2028,4,3495,57133,819135,6.97,12.34,18.79,Scaling,Moderate,Growth
S0000137,RG0003,2029,1,3039,60172,814809,7.38,12.51,22.46,Scaling,Moderate,Growth
S0000138,RG0003,2029,2,3346,63518,850900,7.46,22.47,24.09,Scaling,Moderate,Growth
S0000139,RG0003,2029,3,3453,66971,887644,7.54,7.91,22.75,Scaling,Low,Accelerated
S0000140,RG0003,2029,4,4173,71144,933061,7.62,19.4,20.42,Scaling,Moderate,Accelerated
S0000141,RG0003,2030,1,3439,74583,928250,8.03,13.16,16.73,Mature,Moderate,Accelerated
S0000142,RG0003,2030,2,3696,78279,964645,8.11,10.46,18.68,Mature,Moderate,Accelerated
S0000143,RG0003,2030,3,3992,82271,1003942,8.19,15.61,17.78,Mature,Moderate,Accelerated
S0000144,RG0003,2030,4,5071,87342,1055518,8.27,21.52,17.69,Mature,Moderate,Accelerated
S0000145,RG0004,2019,1,462,462,58902,0.78,0.0,0.0,Early,Low,Pilot
S0000146,RG0004,2019,2,513,975,112802,0.86,0.0,0.0,Early,Low,Pilot
S0000147,RG0004,2019,3,536,1511,160004,0.94,0.0,0.0,Early,Low,Pilot
S0000148,RG0004,2019,4,641,2152,210084,1.02,0.0,0.0,Early,Low,Early Adoption
S0000149,RG0004,2020,1,603,2755,192073,1.43,30.52,0.0,Early,High,Early Adoption
S0000150,RG0004,2020,2,595,3350,221217,1.51,15.98,0.0,Emerging,Moderate,Early Adoption
S0000151,RG0004,2020,3,666,4016,251889,1.59,24.25,0.0,Emerging,Moderate,Early Adoption
S0000152,RG0004,2020,4,847,4863,290441,1.67,32.14,0.0,Emerging,High,Early Adoption
S0000153,RG0004,2021,1,721,5584,267901,2.08,19.57,0.0,Emerging,Moderate,Early Adoption
S0000154,RG0004,2021,2,781,6365,294084,2.16,31.26,0.0,Emerging,High,Early Adoption
S0000155,RG0004,2021,3,859,7224,321875,2.24,28.98,0.0,Emerging,High,Early Adoption
S0000156,RG0004,2021,4,957,8181,351969,2.32,12.99,0.0,Emerging,Moderate,Early Adoption
S0000157,RG0004,2022,1,898,9079,332035,2.73,24.55,24.8,Emerging,Moderate,Early Adoption
S0000158,RG0004,2022,2,928,10007,355571,2.81,18.82,21.85,Emerging,Moderate,Early Adoption
S0000159,RG0004,2022,3,941,10948,378254,2.89,9.55,20.64,Emerging,Low,Early Adoption
S0000160,RG0004,2022,4,1170,12118,407417,2.97,22.26,22.21,Emerging,Moderate,Early Adoption
S0000161,RG0004,2023,1,1008,13126,387844,3.38,12.25,18.68,Emerging,Moderate,Early Adoption
S0000162,RG0004,2023,2,1030,14156,408619,3.46,10.99,20.07,Emerging,Moderate,Early Adoption
S0000163,RG0004,2023,3,1173,15329,432491,3.54,24.65,20.77,Emerging,Moderate,Growth
S0000164,RG0004,2023,4,1421,16750,462152,3.62,21.45,18.82,Emerging,Moderate,Growth
S0000165,RG0004,2024,1,1228,17978,445623,4.03,21.83,19.42,Scaling,Moderate,Growth
S0000166,RG0004,2024,2,1299,19277,468531,4.11,26.12,18.48,Scaling,High,Growth
S0000167,RG0004,2024,3,1494,20771,495214,4.19,27.37,20.26,Scaling,High,Growth
S0000168,RG0004,2024,4,1732,22503,526466,4.27,21.89,21.86,Scaling,Moderate,Growth
S0000169,RG0004,2025,1,1431,23934,510935,4.68,16.53,16.8,Scaling,Moderate,Growth
S0000170,RG0004,2025,2,1558,25492,535057,4.76,19.94,18.85,Scaling,Moderate,Growth
S0000171,RG0004,2025,3,1753,27245,562408,4.84,17.34,23.05,Scaling,Moderate,Growth
S0000172,RG0004,2025,4,2000,29245,593885,4.92,15.47,19.57,Scaling,Moderate,Growth
S0000173,RG0004,2026,1,1754,30999,581120,5.33,22.57,20.28,Scaling,Moderate,Growth
S0000174,RG0004,2026,2,2001,33000,609491,5.41,28.43,24.78,Scaling,High,Growth
S0000175,RG0004,2026,3,2113,35113,639075,5.49,20.54,21.67,Scaling,Moderate,Growth
S0000176,RG0004,2026,4,2442,37555,673711,5.57,22.1,19.78,Scaling,Moderate,Growth
S0000177,RG0004,2027,1,1990,39545,660807,5.98,13.45,17.46,Scaling,Moderate,Growth
S0000178,RG0004,2027,2,2035,41580,685646,6.06,1.7,16.14,Scaling,Low,Growth
S0000179,RG0004,2027,3,2358,43938,715096,6.14,11.59,16.43,Scaling,Moderate,Growth
S0000180,RG0004,2027,4,2824,46762,751275,6.22,15.64,17.7,Scaling,Moderate,Growth
S0000181,RG0004,2028,1,2389,49151,740856,6.63,20.05,18.63,Scaling,Moderate,Growth
S0000182,RG0004,2028,2,2472,51623,768846,6.71,21.47,16.63,Scaling,Moderate,Growth
S0000183,RG0004,2028,3,2649,54272,798781,6.79,12.34,14.75,Scaling,Moderate,Growth
S0000184,RG0004,2028,4,3218,57490,836297,6.87,13.95,17.18,Scaling,Moderate,Growth
S0000185,RG0004,2029,1,2979,60469,830122,7.28,24.7,19.31,Scaling,Moderate,Growth
S0000186,RG0004,2029,2,3071,63540,862805,7.36,24.23,15.35,Scaling,Moderate,Growth
S0000187,RG0004,2029,3,3257,66797,897285,7.44,22.95,15.52,Scaling,Moderate,Growth
S0000188,RG0004,2029,4,3953,70750,940281,7.52,22.84,17.42,Scaling,Moderate,Accelerated
S0000189,RG0004,2030,1,3725,74475,938640,7.93,25.04,23.24,Scaling,High,Accelerated
S0000190,RG0004,2030,2,3945,78420,978495,8.01,28.46,24.69,Mature,High,Accelerated
S0000191,RG0004,2030,3,4505,82925,1024480,8.09,38.32,24.08,Mature,High,Accelerated
S0000192,RG0004,2030,4,4962,87887,1075156,8.17,25.52,20.67,Mature,High,Accelerated
S0000193,RG0005,2019,1,497,497,55097,0.9,0.0,0.0,Early,Low,Pilot
S0000194,RG0005,2019,2,495,992,101013,0.98,0.0,0.0,Early,Low,Pilot
S0000195,RG0005,2019,3,538,1530,144061,1.06,0.0,0.0,Early,Low,Early Adoption
S0000196,RG0005,2019,4,671,2201,192724,1.14,0.0,0.0,Early,Low,Early Adoption
S0000197,RG0005,2020,1,634,2835,182662,1.55,27.57,0.0,Emerging,High,Early Adoption
S0000198,RG0005,2020,2,624,3459,211942,1.63,26.06,0.0,Emerging,High,Early Adoption
S0000199,RG0005,2020,3,723,4182,244269,1.71,34.39,0.0,Emerging,High,Early Adoption
S0000200,RG0005,2020,4,810,4992,278564,1.79,20.72,0.0,Emerging,Moderate,Early Adoption
S0000201,RG0005,2021,1,802,5794,263118,2.2,26.5,0.0,Emerging,High,Early Adoption
S0000202,RG0005,2021,2,810,6604,289389,2.28,29.81,0.0,Emerging,High,Early Adoption
S0000203,RG0005,2021,3,933,7537,319087,2.36,29.05,0.0,Emerging,High,Early Adoption
S0000204,RG0005,2021,4,1093,8630,353392,2.44,34.94,0.0,Emerging,High,Early Adoption
S0000205,RG0005,2022,1,880,9510,333444,2.85,9.73,20.98,Emerging,Low,Early Adoption
S0000206,RG0005,2022,2,882,10392,354428,2.93,8.89,21.23,Emerging,Low,Early Adoption
S0000207,RG0005,2022,3,1009,11401,378513,3.01,8.15,23.32,Emerging,Low,Early Adoption
S0000208,RG0005,2022,4,1197,12598,407432,3.09,9.52,21.28,Emerging,Low,Early Adoption
S0000209,RG0005,2023,1,1149,13747,392542,3.5,30.57,21.92,Emerging,High,Growth
S0000210,RG0005,2023,2,1114,14861,414874,3.58,26.3,21.31,Emerging,High,Growth
S0000211,RG0005,2023,3,1220,16081,439126,3.66,20.91,19.05,Emerging,Moderate,Growth
S0000212,RG0005,2023,4,1537,17618,470811,3.74,28.4,23.8,Emerging,High,Growth
S0000213,RG0005,2024,1,1332,18950,456401,4.15,15.93,18.42,Scaling,Moderate,Growth
S0000214,RG0005,2024,2,1343,20293,479508,4.23,20.56,18.36,Scaling,Moderate,Growth
S0000215,RG0005,2024,3,1486,21779,505073,4.31,21.8,16.78,Scaling,Moderate,Growth
S0000216,RG0005,2024,4,1797,23576,536788,4.39,16.92,18.03,Scaling,Moderate,Growth
S0000217,RG0005,2025,1,1840,25416,529274,4.8,38.14,27.87,Scaling,High,Growth
S0000218,RG0005,2025,2,1819,27235,557860,4.88,35.44,27.29,Scaling,High,Growth
S0000219,RG0005,2025,3,2000,29235,589172,4.96,34.59,25.62,Scaling,High,Growth
S0000220,RG0005,2025,4,2354,31589,626511,5.04,31.0,25.29,Scaling,High,Growth
S0000221,RG0005,2026,1,2161,33750,619033,5.45,17.45,23.44,Scaling,Moderate,Growth
S0000222,RG0005,2026,2,2208,35958,649994,5.53,21.39,25.61,Scaling,Moderate,Growth
S0000223,RG0005,2026,3,2363,38321,682834,5.61,18.15,24.65,Scaling,Moderate,Growth
S0000224,RG0005,2026,4,2901,41222,724203,5.69,23.24,23.58,Scaling,Moderate,Growth
S0000225,RG0005,2027,1,2703,43925,719840,6.1,25.08,26.6,Scaling,High,Growth
S0000226,RG0005,2027,2,2651,46576,753407,6.18,20.06,25.44,Scaling,Moderate,Growth
S0000227,RG0005,2027,3,2909,49485,790236,6.26,23.11,25.1,Scaling,Moderate,Growth
S0000228,RG0005,2027,4,3498,52983,835424,6.34,20.58,24.86,Scaling,Moderate,Growth
S0000229,RG0005,2028,1,2922,55905,827971,6.75,8.1,16.67,Scaling,Low,Growth
S0000230,RG0005,2028,2,3037,58942,862728,6.83,14.56,18.63,Scaling,Moderate,Growth
S0000231,RG0005,2028,3,3259,62201,899892,6.91,12.03,17.68,Scaling,Moderate,Growth
S0000232,RG0005,2028,4,3951,66152,946103,6.99,12.95,18.84,Scaling,Moderate,Growth
S0000233,RG0005,2029,1,4033,70185,948183,7.4,38.02,23.12,Scaling,High,Growth
S0000234,RG0005,2029,2,4323,74508,995823,7.48,42.34,25.1,Scaling,High,Growth
S0000235,RG0005,2029,3,4586,79094,1045933,7.56,40.72,24.74,Scaling,High,Accelerated
S0000236,RG0005,2029,4,5179,84273,1102754,7.64,31.08,21.31,Scaling,High,Accelerated
S0000237,RG0005,2030,1,4782,89055,1105992,8.05,18.57,20.94,Mature,Moderate,Accelerated
S0000238,RG0005,2030,2,4735,93790,1153338,8.13,9.53,21.33,Mature,Low,Accelerated
S0000239,RG0005,2030,3,5136,98926,1204644,8.21,11.99,20.86,Mature,Moderate,Accelerated
S0000240,RG0005,2030,4,6213,105139,1267949,8.29,19.97,21.1,Mature,Moderate,Accelerated
S0000241,RG0006,2019,1,603,603,47698,1.26,0.0,0.0,Early,Low,Early Adoption
S0000242,RG0006,2019,2,644,1247,92769,1.34,0.0,0.0,Early,Low,Early Adoption
S0000243,RG0006,2019,3,700,1947,136708,1.42,0.0,0.0,Early,Low,Early Adoption
S0000244,RG0006,2019,4,846,2793,185680,1.5,0.0,0.0,Emerging,Low,Early Adoption
S0000245,RG0006,2020,1,795,3588,187441,1.91,31.84,0.0,Emerging,High,Early Adoption
S0000246,RG0006,2020,2,854,4442,222746,1.99,32.61,0.0,Emerging,High,Early Adoption
S0000247,RG0006,2020,3,881,5323,256629,2.07,25.86,0.0,Emerging,High,Early Adoption
S0000248,RG0006,2020,4,1085,6408,297465,2.15,28.25,0.0,Emerging,High,Early Adoption
S0000249,RG0006,2021,1,921,7329,285820,2.56,15.85,0.0,Emerging,Moderate,Early Adoption
S0000250,RG0006,2021,2,983,8312,314348,2.64,15.11,0.0,Emerging,Moderate,Early Adoption
S0000251,RG0006,2021,3,1079,9391,344725,2.72,22.47,0.0,Emerging,Moderate,Early Adoption
S0000252,RG0006,2021,4,1329,10720,382284,2.8,22.49,0.0,Emerging,Moderate,Early Adoption
S0000253,RG0006,2022,1,1153,11873,369392,3.21,25.19,24.12,Emerging,High,Early Adoption
S0000254,RG0006,2022,2,1139,13012,394997,3.29,15.87,20.93,Emerging,Moderate,Early Adoption
S0000255,RG0006,2022,3,1239,14251,422352,3.37,14.83,20.96,Emerging,Moderate,Early Adoption
S0000256,RG0006,2022,4,1609,15860,459151,3.45,21.07,23.9,Emerging,Moderate,Early Adoption
S0000257,RG0006,2023,1,1467,17327,448398,3.86,27.23,22.66,Emerging,High,Growth
S0000258,RG0006,2023,2,1503,18830,477410,3.94,31.96,20.74,Emerging,High,Growth
S0000259,RG0006,2023,3,1600,20430,507679,4.02,29.14,22.01,Scaling,High,Growth
S0000260,RG0006,2023,4,2108,22538,549145,4.1,31.01,24.78,Scaling,High,Growth
S0000261,RG0006,2024,1,1754,24292,538124,4.51,19.56,23.95,Scaling,Moderate,Growth
S0000262,RG0006,2024,2,1893,26185,569958,4.59,25.95,24.41,Scaling,High,Growth
S0000263,RG0006,2024,3,1959,28144,602114,4.67,22.44,21.99,Scaling,Moderate,Growth
S0000264,RG0006,2024,4,2346,30490,641328,4.75,11.29,20.86,Scaling,Moderate,Growth
S0000265,RG0006,2025,1,2447,32937,637795,5.16,39.51,28.51,Scaling,High,Growth
S0000266,RG0006,2025,2,2561,35498,676900,5.24,35.29,31.01,Scaling,High,Growth
S0000267,RG0006,2025,3,2762,38260,718606,5.32,40.99,30.63,Scaling,High,Growth
S0000268,RG0006,2025,4,3291,41551,768865,5.4,40.28,26.94,Scaling,High,Growth
S0000269,RG0006,2026,1,2717,44268,761377,5.81,11.03,22.81,Scaling,Moderate,Growth
S0000270,RG0006,2026,2,3064,47332,803027,5.89,19.64,26.8,Scaling,Moderate,Growth
S0000271,RG0006,2026,3,3316,50648,847779,5.97,20.06,27.5,Scaling,Moderate,Growth
S0000272,RG0006,2026,4,3873,54521,900548,6.05,17.68,22.48,Scaling,Moderate,Growth
S0000273,RG0006,2027,1,3383,57904,895764,6.46,24.51,24.48,Scaling,Moderate,Growth
S0000274,RG0006,2027,2,3597,61501,939779,6.54,17.4,23.86,Scaling,Moderate,Growth
S0000275,RG0006,2027,3,3608,65109,982896,6.62,8.81,22.58,Scaling,Low,Growth
S0000276,RG0006,2027,4,4388,69497,1036619,6.7,13.3,23.21,Scaling,Moderate,Growth
S0000277,RG0006,2028,1,4513,74010,1040314,7.11,33.4,22.63,Scaling,High,Growth
S0000278,RG0006,2028,2,4296,78306,1088460,7.19,19.43,18.82,Scaling,Moderate,Growth
S0000279,RG0006,2028,3,4663,82969,1140593,7.27,29.24,19.07,Scaling,High,Growth
