demo_id,region_id,year,population,urban_population_pct,population_density,median_age,literacy_rate,working_age_population_pct
D000057,RG0005,2027,33594717,61.6,1020,30.3,83.4,63.3
D000058,RG0005,2028,33522119,61.7,1023,30.6,83.8,63.2
D000059,RG0005,2029,34547156,63.0,1045,30.2,83.8,63.3
D000060,RG0005,2030,34922325,63.8,1067,30.7,84.1,62.9
D000061,RG0006,2019,1610311,57.2,1095,30.0,85.6,65.2
D000062,RG0006,2020,1630101,56.2,1100,30.5,86.0,65.4
D000063,RG0006,2021,1635612,57.9,1138,30.5,85.9,65.3
D000064,RG0006,2022,1681787,58.9,1118,30.2,86.4,65.1
D000065,RG0006,2023,1680592,59.2,1125,30.7,86.3,65.2
D000066,RG0006,2024,1702690,58.7,1171,30.4,86.7,64.9
D000067,RG0006,2025,1728682,59.5,1137,30.8,86.8,64.9
D000068,RG0006,2026,1752902,61.3,1151,30.5,87.0,64.8
D000069,RG0006,2027,1804302,61.4,1181,30.5,87.3,65.0
D000070,RG0006,2028,1833871,62.7,1231,31.0,87.3,64.6
D000071,RG0006,2029,1839822,63.1,1218,31.0,87.2,64.8
D000072,RG0006,2030,1872828,63.1,1241,31.2,87.4,64.8
D000073,RG0007,2019,72569923,55.0,1242,29.1,90.5,66.8
D000074,RG0007,2020,73921594,54.9,1307,29.1,90.6,67.0
D000075,RG0007,2021,74795944,55.3,1321,29.4,90.5,67.0
D000076,RG0007,2022,76706812,56.5,1290,29.4,90.7,67.0
D000077,RG0007,2023,77721910,57.7,1281,29.5,91.0,66.9
D000078,RG0007,2024,79322344,58.1,1355,29.5,91.2,66.7
D000079,RG0007,2025,79391376,58.2,1355,29.7,91.4,66.4
D000080,RG0007,2026,81110294,58.8,1402,29.5,91.8,66.4
D000081,RG0007,2027,82689328,59.8,1362,29.6,92.0,66.5
D000082,RG0007,2028,82993874,59.7,1419,29.6,92.1,66.6
D000083,RG0007,2029,85492269,60.8,1428,30.0,92.3,66.5
D000084,RG0007,2030,85376479,61.4,1428,29.9,92.1,66.3
D000085,RG0008,2019,29283486,57.4,1140,29.5,88.7,66.2
D000086,RG0008,2020,29475964,57.6,1171,29.3,88.9,66.2
D000087,RG0008,2021,30123994,59.3,1195,29.5,89.5,66.3
D000088,RG0008,2022,30480898,60.3,1180,29.6,89.5,66.2
D000089,RG0008,2023,30853009,60.4,1189,29.8,89.8,66.2
D000090,RG0008,2024,31023429,60.2,1229,29.6,89.7,65.9
D000091,RG0008,2025,31624011,61.0,1273,29.9,90.1,65.9
D000092,RG0008,2026,32021871,63.0,1287,30.0,90.1,65.8
D000093,RG0008,2027,32607154,62.1,1309,29.9,90.5,65.6
D000094,RG0008,2028,33333353,64.2,1261,29.9,90.5,65.8
D000095,RG0008,2029,33793729,64.3,1297,29.8,90.6,65.7
D000096,RG0008,2030,34097324,65.6,1289,30.3,90.9,65.5
D000097,RG0009,2019,7496878,52.5,921,30.4,83.7,63.0
D000098,RG0009,2020,7635237,54.7,933,30.2,83.9,62.9
D000099,RG0009,2021,7693656,55.5,949,30.4,84.1,62.8
D000100,RG0009,2022,7760352,54.7,963,30.5,84.3,62.8
D000101,RG0009,2023,7959945,56.6,957,30.4,84.3,62.7
D000102,RG0009,2024,7950035,55.6,982,30.9,84.7,62.7
D000103,RG0009,2025,8161926,57.2,997,30.9,84.8,62.5
D000104,RG0009,2026,8273235,56.8,1014,30.6,84.8,62.4
D000105,RG0009,2027,8394749,58.5,1010,30.7,84.9,62.5
D000106,RG0009,2028,8399402,58.4,1062,30.7,85.3,62.6
D000107,RG0009,2029,8631912,59.5,1014,31.2,85.7,62.2
D000108,RG0009,2030,8706883,61.0,1075,31.0,85.4,62.2
D000109,RG0010,2019,39389786,38.9,883,29.9,82.6,63.0
D000110,RG0010,2020,39890058,39.9,918,30.2,82.8,63.0
D000111,RG0010,2021,40191978,39.7,939,30.3,83.2,62.8
D000112,RG0010,2022,40459248,41.3,909,30.2,83.4,62.7
D000113,RG0010,2023,41129529,41.0,949,30.4,83.4,62.8
D000114,RG0010,2024,41288315,41.7,949,30.4,83.9,62.5
D000115,RG0010,2025,42277740,42.8,962,30.3,83.8,62.7
D000116,RG0010,2026,42984975,43.5,961,30.6,84.1,62.7
D000117,RG0010,2027,42924845,43.7,1010,30.6,84.2,62.5
D000118,RG0010,2028,43936408,44.6,1009,30.6,84.5,62.4
D000119,RG0010,2029,44607333,46.2,994,30.6,84.6,62.3
D000120,RG0010,2030,45316030,46.6,1043,30.6,84.8,62.3
D000121,RG0011,2019,69599039,54.7,1313,29.1,92.0,67.5
D000122,RG0011,2020,69757126,56.9,1282,29.6,92.2,67.6
D000123,RG0011,2021,71322009,56.1,1352,29.2,92.7,67.5
D000124,RG0011,2022,71814634,58.3,1336,29.7,92.7,67.4
D000125,RG0011,2023,72966630,58.9,1356,29.4,92.8,67.2
D000126,RG0011,2024,73711962,60.0,1405,29.5,93.3,67.3
D000127,RG0011,2025,75239868,60.4,1413,29.6,93.4,67.3
D000128,RG0011,2026,77133040,60.1,1449,29.6,93.2,67.2
D000129,RG0011,2027,78288978,62.0,1413,29.9,93.4,66.9
D000130,RG0011,2028,78765621,62.3,1451,29.9,93.9,67.1
D000131,RG0011,2029,80259097,62.5,1494,30.1,93.8,66.8
D000132,RG0011,2030,81327207,62.3,1473,30.2,94.2,66.7
D000133,RG0012,2019,34963182,54.0,1160,29.3,87.5,66.1
D000134,RG0012,2020,35378708,53.9,1177,29.4,88.0,66.0
D000135,RG0012,2021,36387001,56.0,1178,29.4,87.9,66.0
D000136,RG0012,2022,36203724,56.4,1244,29.5,88.2,65.9
D000137,RG0012,2023,36738185,56.3,1238,29.6,88.6,65.8
D000138,RG0012,2024,37557226,57.0,1231,29.4,88.7,65.8
D000139,RG0012,2025,38506631,57.5,1273,29.6,88.6,66.0
D000140,RG0012,2026,38972907,59.5,1287,29.8,89.0,65.9
D000141,RG0012,2027,39240396,60.3,1286,29.6,89.0,65.8
D000142,RG0012,2028,40165092,60.5,1337,29.8,89.1,65.8
D000143,RG0012,2029,40307702,61.2,1323,29.6,89.3,65.5
D000144,RG0012,2030,40826959,60.6,1376,30.1,89.7,65.6
D000145,RG0013,2019,84510981,51.1,1000,30.3,85.7,64.2
D000146,RG0013,2020,86741463,52.9,991,30.5,86.2,64.1
D000147,RG0013,2021,86647385,52.5,1010,30.4,86.3,64.0
D000148,RG0013,2022,89134780,53.1,1034,30.5,86.3,63.8
D000149,RG0013,2023,89518900,55.0,1083,30.7,86.6,64.0
D000150,RG0013,2024,91795514,54.4,1087,30.8,86.9,63.7
D000151,RG0013,2025,92760271,55.6,1094,30.7,86.8,63.7
D000152,RG0013,2026,94327703,56.7,1103,31.0,87.0,63.8
D000153,RG0013,2027,95362652,57.0,1082,31.2,87.5,63.7
D000154,RG0013,2028,95478145,58.4,1147,31.0,87.7,63.7
D000155,RG0013,2029,98183299,57.5,1134,31.1,87.8,63.4
D000156,RG0013,2030,98262890,59.6,1118,31.2,88.0,63.5
D000157,RG0014,2019,123470907,55.9,1383,27.9,93.2,66.8
D000158,RG0014,2020,125964647,57.2,1355,28.3,93.0,66.8
D000159,RG0014,2021,127733448,57.1,1357,28.2,93.2,66.6
D000160,RG0014,2022,130073824,57.3,1419,28.2,93.5,66.4
D000161,RG0014,2023,131599390,59.5,1457,28.6,93.9,66.3
D000162,RG0014,2024,132592394,60.1,1443,28.3,94.0,66.3
D000163,RG0014,2025,134769294,60.7,1434,28.4,94.3,66.3
D000164,RG0014,2026,138173454,61.3,1470,28.3,94.2,66.3
D000165,RG0014,2027,139534857,60.5,1465,28.7,94.6,66.1
D000166,RG0014,2028,143794774,61.9,1497,28.5,94.6,66.1
D000167,RG0014,2029,145871672,62.0,1512,28.9,95.0,66.3
D000168,RG0014,2030,146751414,64.3,1521,28.8,95.1,66.1
D000169,RG0015,2019,2978933,57.9,854,30.3,81.9,63.8
D000170,RG0015,2020,3032658,58.2,870,30.2,81.9,63.5
D000171,RG0015,2021,3057064,58.4,858,30.1,82.2,63.7
D000172,RG0015,2022,3113531,60.0,874,30.1,82.2,63.4
D000173,RG0015,2023,3181550,59.8,905,30.4,82.3,63.4
D000174,RG0015,2024,3229477,60.3,900,30.2,82.8,63.3
D000175,RG0015,2025,3269825,61.3,923,30.7,82.9,63.3
D000176,RG0015,2026,3301236,62.0,903,30.6,83.1,63.2
D000177,RG0015,2027,3311789,63.3,937,30.6,83.0,63.3
D000178,RG0015,2028,3395519,63.8,925,30.6,83.6,63.2
D000179,RG0015,2029,3433293,63.0,938,30.8,83.6,63.3
D000180,RG0015,2030,3464110,65.2,965,30.9,83.9,62.8
D000181,RG0016,2019,3394160,45.2,838,31.2,81.4,62.1
D000182,RG0016,2020,3448467,44.1,827,31.1,81.8,62.2
D000183,RG0016,2021,3497786,45.0,865,31.5,81.7,62.1
D000184,RG0016,2022,3506451,46.7,892,31.4,81.7,62.1
D000185,RG0016,2023,3596439,46.0,873,31.3,82.2,62.2
D000186,RG0016,2024,3600923,47.8,878,31.8,82.3,62.0
D000187,RG0016,2025,3685318,47.9,893,31.8,82.6,61.7
D000188,RG0016,2026,3740013,49.6,921,31.6,82.5,61.7
D000189,RG0016,2027,3767051,49.4,926,31.8,82.6,61.6
D000190,RG0016,2028,3825972,51.0,949,31.9,83.0,61.5
D000191,RG0016,2029,3836180,50.9,938,31.8,83.2,61.4
D000192,RG0016,2030,3900284,52.1,969,32.0,83.4,61.7
D000193,RG0017,2019,1301833,41.7,801,30.9,80.4,62.0
D000194,RG0017,2020,1325458,42.6,791,30.7,80.5,62.3
D000195,RG0017,2021,1335211,42.9,826,30.7,80.3,62.2
D000196,RG0017,2022,1363832,44.2,835,31.1,80.6,62.1
D000197,RG0017,2023,1355483,44.3,823,31.0,80.7,61.9
D000198,RG0017,2024,1397522,45.4,825,31.0,81.0,61.8
D000199,RG0017,2025,1390592,46.5,852,31.0,81.0,61.7
D000200,RG0017,2026,1422291,46.6,863,31.3,81.3,61.9
D000201,RG0017,2027,1429767,47.2,882,31.6,81.4,61.5
D000202,RG0017,2028,1463105,46.8,869,31.7,81.9,61.5
D000203,RG0017,2029,1482416,48.5,910,31.4,82.1,61.7
D000204,RG0017,2030,1491165,48.8,883,31.5,82.1,61.4
D000205,RG0018,2019,2291029,44.8,771,31.0,79.2,62.0
D000206,RG0018,2020,2324148,44.7,782,30.9,79.2,62.0
D000207,RG0018,2021,2359569,46.6,828,31.1,79.6,62.0
D000208,RG0018,2022,2375858,46.5,812,30.9,79.6,62.1
D000209,RG0018,2023,2437321,47.2,807,31.1,80.0,61.9
D000210,RG0018,2024,2430455,48.1,819,31.4,80.0,61.9
D000211,RG0018,2025,2467519,48.7,854,31.2,80.2,61.9
D000212,RG0018,2026,2522731,49.7,841,31.4,80.3,61.8
D000213,RG0018,2027,2539566,49.8,866,31.2,80.9,61.6
D000214,RG0018,2028,2561491,50.2,869,31.3,80.8,61.5
D000215,RG0018,2029,2593287,51.9,901,31.6,81.1,61.6
D000216,RG0018,2030,2667851,52.3,895,31.5,81.1,61.5
D000217,RG0019,2019,46197331,54.4,984,30.9,83.0,63.8
D000218,RG0019,2020,47011117,54.0,1021,31.2,83.0,63.9
D000219,RG0019,2021,47453839,54.1,984,31.1,83.4,63.8
D000220,RG0019,2022,48333942,54.6,991,31.3,83.6,63.6
D000221,RG0019,2023,48939716,57.1,1028,31.1,83.8,63.7
D000222,RG0019,2024,49697585,57.5,1072,31.2,84.0,63.5
D000223,RG0019,2025,49715256,57.6,1038,31.6,84.0,63.7
D000224,RG0019,2026,50940543,57.3,1043,31.6,84.4,63.4
D000225,RG0019,2027,51388959,58.3,1046,31.3,84.6,63.3
D000226,RG0019,2028,51489427,59.1,1092,31.8,84.5,63.2
D000227,RG0019,2029,52268276,61.0,1103,31.6,85.1,63.3
D000228,RG0019,2030,53545756,60.8,1139,31.9,85.1,63.0
D000229,RG0020,2019,29865916,54.0,1098,29.8,86.8,65.6
D000230,RG0020,2020,30451834,54.6,1105,30.1,87.2,65.6
D000231,RG0020,2021,31147463,54.4,1083,30.1,87.2,65.6
D000232,RG0020,2022,31063672,54.3,1146,30.0,87.6,65.5
D000233,RG0020,2023,31975743,56.3,1153,30.0,87.7,65.3
D000234,RG0020,2024,32039875,57.0,1170,29.9,87.7,65.3
D000235,RG0020,2025,32786588,57.0,1140,30.0,88.2,65.1
D000236,RG0020,2026,33060551,57.2,1149,30.3,88.1,65.1
D000237,RG0020,2027,33493589,59.0,1157,30.4,88.3,65.2
D000238,RG0020,2028,34111958,59.5,1180,30.3,88.6,65.2
D000239,RG0020,2029,34587641,60.1,1220,30.7,88.7,64.9
D000240,RG0020,2030,34849121,61.2,1197,30.4,89.1,65.1
D000241,RG0021,2019,81100558,55.0,1084,29.4,86.2,64.6
D000242,RG0021,2020,82560875,54.7,1107,29.7,86.4,64.8
D000243,RG0021,2021,83371571,56.4,1142,29.5,86.4,64.7
D000244,RG0021,2022,83713253,56.8,1169,30.0,86.6,64.6
D000245,RG0021,2023,85597476,56.4,1165,29.7,86.7,64.5
D000246,RG0021,2024,86729551,57.2,1200,29.7,87.1,64.5
D000247,RG0021,2025,87748557,59.1,1182,30.0,87.4,64.2
D000248,RG0021,2026,89068008,58.2,1205,30.2,87.3,64.4
D000249,RG0021,2027,90177375,59.3,1218,30.0,87.7,64.3
D000250,RG0021,2028,91152118,59.7,1210,30.3,87.7,64.2
D000251,RG0021,2029,92398584,60.8,1211,30.2,88.0,64.1
D000252,RG0021,2030,94951325,61.7,1241,30.5,88.0,64.1
D000253,RG0022,2019,699070,37.4,761,31.1,79.6,62.0
D000254,RG0022,2020,706555,38.2,770,31.0,79.6,61.8
D000255,RG0022,2021,719191,38.6,814,31.1,80.0,62.0
D000256,RG0022,2022,721259,39.3,799,31.3,80.1,61.9
D000257,RG0022,2023,731913,40.4,821,31.5,80.3,61.6
D000258,RG0022,2024,743348,40.5,822,31.6,80.5,61.7
D000259,RG0022,2025,760173,42.2,844,31.7,80.5,61.4
D000260,RG0022,2026,766029,42.4,855,31.7,80.5,61.5
D000261,RG0022,2027,778844,43.6,855,31.7,80.9,61.4
D000262,RG0022,2028,779194,44.5,882,31.6,81.0,61.2
D000263,RG0022,2029,801103,44.5,883,31.6,81.4,61.2
D000264,RG0022,2030,802587,46.0,858,31.8,81.6,61.4
D000265,RG0023,2019,78528141,50.6,1305,29.0,91.9,66.8
D000266,RG0023,2020,79924890,52.4,1273,29.2,91.9,66.7
D000267,RG0023,2021,80789691,53.7,1291,29.0,92.1,66.6
D000268,RG0023,2022,81245253,52.5,1378,29.3,92.3,66.5
D000269,RG0023,2023,83349307,53.9,1383,29.3,92.2,66.7
D000270,RG0023,2024,83620928,54.8,1340,29.4,92.5,66.4
D000271,RG0023,2025,86149336,55.2,1386,29.3,92.8,66.4
D000272,RG0023,2026,86771214,55.3,1381,29.6,93.2,66.5
D000273,RG0023,2027,88754140,56.5,1430,29.7,93.2,66.2
D000274,RG0023,2028,88711095,57.9,1450,30.0,93.4,66.2
D000275,RG0023,2029,91480857,57.5,1450,29.8,93.7,66.1
D000276,RG0023,2030,91630129,59.9,1458,30.0,93.8,66.1
D000277,RG0024,2019,38973072,53.3,1234,29.9,89.6,65.7
D000278,RG0024,2020,39695492,53.5,1259,30.2,89.6,65.4
D000279,RG0024,2021,40010421,53.8,1256,30.4,90.0,65.5
D000280,RG0024,2022,40407568,55.5,1300,30.2,90.2,65.6
D000281,RG0024,2023,41208232,55.4,1336,30.2,90.6,65.2
D000282,RG0024,2024,42118460,55.9,1348,30.5,90.7,65.2
D000283,RG0024,2025,42311093,57.5,1365,30.3,90.8,65.1
D000284,RG0024,2026,43074505,56.7,1362,30.4,91.1,65.1
D000285,RG0024,2027,44345836,58.0,1365,30.6,91.3,65.0
D000286,RG0024,2028,44347414,58.5,1382,30.9,91.3,65.1
D000287,RG0024,2029,44988965,59.9,1382,31.0,91.6,64.9
D000288,RG0024,2030,45473720,59.8,1378,30.7,91.7,64.8
D000289,RG0025,2019,4139552,44.6,889,29.9,80.5,63.5
D000290,RG0025,2020,4168064,46.6,898,30.0,80.7,63.4
D000291,RG0025,2021,4219027,47.4,903,30.0,81.2,63.1
D000292,RG0025,2022,4279961,48.0,932,30.0,81.0,63.3
D000293,RG0025,2023,4293855,48.6,921,30.2,81.5,63.3
D000294,RG0025,2024,4351455,47.7,911,30.4,81.4,63.3
D000295,RG0025,2025,4473647,49.3,939,30.3,81.7,62.9
D000296,RG0025,2026,4468865,49.5,953,30.7,81.7,63.1
D000297,RG0025,2027,4549177,50.7,937,30.6,82.3,63.1
D000298,RG0025,2028,4567023,51.2,992,30.8,82.5,62.9
D000299,RG0025,2029,4645621,51.9,980,30.8,82.5,63.0
D000300,RG0025,2030,4727888,53.1,965,30.8,82.6,62.6
D000301,RG0026,2019,231111471,44.2,1069,29.2,85.4,64.3
D000302,RG0026,2020,234424039,46.1,1041,29.2,85.6,64.3
D000303,RG0026,2021,235165889,45.1,1078,29.4,85.9,64.2
D000304,RG0026,2022,240070472,46.4,1077,29.5,86.0,64.1
D000305,RG0026,2023,245813135,47.8,1126,29.8,86.0,64.0
D000306,RG0026,2024,249911596,48.3,1150,29.8,86.4,63.9
D000307,RG0026,2025,252313372,48.4,1147,29.9,86.4,64.0
D000308,RG0026,2026,256323613,49.0,1147,29.8,86.8,63.8
D000309,RG0026,2027,258495446,50.0,1168,30.0,87.0,63.8
D000310,RG0026,2028,260697449,49.9,1162,29.7,87.0,63.8
D000311,RG0026,2029,265283791,50.8,1172,30.2,87.1,63.6
D000312,RG0026,2030,268087391,52.5,1202,30.0,87.4,63.7
D000313,RG0027,2019,10899375,57.9,950,30.2,84.7,63.9
D000314,RG0027,2020,11220734,58.3,968,30.5,84.7,64.1
D000315,RG0027,2021,11374469,58.3,1014,30.4,85.1,63.8
D000316,RG0027,2022,11368142,59.2,982,30.5,84.8,63.7
D000317,RG0027,2023,11711634,59.3,1035,30.4,85.3,63.6
D000318,RG0027,2024,11711052,61.0,1035,30.5,85.3,63.9
D000319,RG0027,2025,12035891,60.9,1066,30.6,85.5,63.6
D000320,RG0027,2026,12066735,61.9,1071,30.8,85.6,63.5
D000321,RG0027,2027,12272901,63.0,1047,31.0,85.7,63.4
D000322,RG0027,2028,12467029,62.4,1106,31.1,86.3,63.6
D000323,RG0027,2029,12642154,63.5,1106,31.1,86.4,63.4
D000324,RG0027,2030,12650051,63.9,1075,31.1,86.6,63.2
D000325,RG0028,2019,99202764,51.4,1055,30.4,85.2,64.6
D000326,RG0028,2020,101245808,52.0,1064,30.5,85.3,64.6
D000327,RG0028,2021,103508750,53.4,1041,30.8,85.4,64.3
D000328,RG0028,2022,104068233,53.0,1099,30.6,85.5,64.5
D000329,RG0028,2023,104924278,54.7,1109,31.1,85.7,64.5
D000330,RG0028,2024,107860443,54.9,1075,31.0,85.8,64.2
D000331,RG0028,2025,108219429,54.8,1114,31.0,86.0,64.2
D000332,RG0028,2026,109537925,55.5,1156,31.3,86.5,64.0
D000333,RG0028,2027,112409641,57.1,1170,31.3,86.7,63.9
D000334,RG0028,2028,114060053,58.0,1160,31.4,86.8,64.0
D000335,RG0028,2029,113741736,58.5,1188,31.4,86.9,63.8
D000336,RG0028,2030,116876480,59.5,1172,31.4,87.3,63.7
D000337,RG0029,2019,33296252,57.0,1402,28.7,93.7,67.5
D000338,RG0029,2020,33546078,56.9,1382,29.0,94.0,67.5
D000339,RG0029,2021,33790178,56.9,1457,29.1,94.5,67.3
D000340,RG0029,2022,34599138,59.3,1475,29.0,94.4,67.5
D000341,RG0029,2023,35248845,59.8,1464,28.9,94.8,67.5
D000342,RG0029,2024,35689346,59.8,1512,29.1,95.0,67.4
D000343,RG0029,2025,36266697,60.6,1466,29.1,94.8,67.1
D000344,RG0029,2026,36503432,61.2,1478,29.2,95.1,67.2
D000345,RG0029,2027,37315552,61.0,1482,29.5,95.3,66.9
D000346,RG0029,2028,37644788,63.0,1553,29.6,95.6,67.1
D000347,RG0029,2029,38384977,63.0,1568,29.4,95.5,67.2
D000348,RG0029,2030,39493358,65.0,1603,29.8,95.9,66.9
D000349,RG0030,2019,13456696,56.0,850,31.2,81.1,63.3
D000350,RG0030,2020,13565916,56.7,882,31.5,81.6,63.1
D000351,RG0030,2021,13915394,57.6,890,31.6,81.8,63.0
D000352,RG0030,2022,14038153,58.4,889,31.7,82.0,63.2
D000353,RG0030,2023,14220834,58.6,885,31.7,82.1,63.0
D000354,RG0030,2024,14318362,59.9,892,31.8,82.0,63.1
D000355,RG0030,2025,14592510,60.1,917,32.0,82.2,62.8
D000356,RG0030,2026,14807439,59.7,918,31.7,82.7,62.7
D000357,RG0030,2027,15085442,61.2,948,32.0,82.5,63.0
D000358,RG0030,2028,15129244,61.5,973,32.1,82.9,62.8
D000359,RG0030,2029,15314912,62.7,955,32.0,82.8,62.6
D000360,RG0030,2030,15661484,62.7,990,32.3,83.4,62.5
D000361,RG0031,2019,318451,41.8,724,31.0,78.8,61.3
D000362,RG0031,2020,321609,43.5,746,31.0,79.1,61.3
D000363,RG0031,2021,331129,44.5,753,30.9,79.1,61.1
D000364,RG0031,2022,335007,43.9,761,31.2,79.5,60.8
D000365,RG0031,2023,338382,44.7,740,31.3,79.6,61.0
D000366,RG0031,2024,340383,45.2,746,31.5,79.8,60.7
D000367,RG0031,2025,345650,45.7,755,31.6,80.0,60.7
D000368,RG0031,2026,348493,47.0,796,31.4,80.2,61.0
D000369,RG0031,2027,353578,47.0,799,31.4,80.1,60.7
D000370,RG0031,2028,358525,48.1,785,31.5,80.4,60.5
D000371,RG0031,2029,359337,48.0,800,31.5,80.5,60.6
D000372,RG0031,2030,362748,49.4,817,31.9,80.8,60.5
D000373,RG0032,2019,1208317,56.1,1222,30.0,90.2,66.7
D000374,RG0032,2020,1223427,56.9,1260,30.0,90.4,66.7
D000375,RG0032,2021,1235866,58.9,1268,30.0,90.6,66.6
D000376,RG0032,2022,1246883,58.3,1218,30.3,90.5,66.4
D000377,RG0032,2023,1267389,58.8,1291,30.3,90.9,66.4
D000378,RG0032,2024,1292317,59.8,1256,30.4,91.1,66.6
D000379,RG0032,2025,1301617,61.1,1297,30.3,91.2,66.4
D000380,RG0032,2026,1333351,61.2,1321,30.4,91.4,66.1
D000381,RG0032,2027,1360103,63.4,1351,30.6,91.6,66.0
D000382,RG0032,2028,1364127,64.1,1302,31.0,91.5,66.0
D000383,RG0032,2029,1391936,64.6,1318,31.0,92.0,66.3
D000384,RG0032,2030,1424271,63.7,1408,30.8,92.0,66.2
D000385,RG0033,2019,1635398,57.8,1049,29.9,85.8,63.8
D000386,RG0033,2020,1671062,57.9,1028,30.2,86.0,63.5
D000387,RG0033,2021,1707803,58.0,1037,30.4,86.5,63.5
D000388,RG0033,2022,1727530,60.3,1045,30.5,86.4,63.5
D000389,RG0033,2023,1728840,59.9,1111,30.5,86.7,63.4
D000390,RG0033,2024,1750270,61.7,1118,30.5,86.8,63.5
D000391,RG0033,2025,1782731,61.3,1124,30.4,87.2,63.3
D000392,RG0033,2026,1834804,63.0,1141,30.4,87.4,63.3
D000393,RG0033,2027,1845939,61.9,1101,30.6,87.6,63.4
D000394,RG0033,2028,1878027,63.5,1152,30.7,87.8,63.3
D000395,RG0033,2029,1895541,64.3,1160,30.7,87.6,63.3
D000396,RG0033,2030,1933687,64.2,1135,30.9,87.8,63.1
D000397,RG0034,2019,71835,43.2,739,31.7,77.3,62.6
D000398,RG0034,2020,73185,44.3,738,31.7,77.5,62.5
D000399,RG0034,2021,73819,44.7,754,31.7,77.5,62.6
D000400,RG0034,2022,75054,46.6,790,32.0,77.7,62.3
D000401,RG0034,2023,74934,47.1,760,32.0,77.9,62.1
D000402,RG0034,2024,76282,46.5,806,32.1,78.4,62.1
D000403,RG0034,2025,78081,47.1,785,32.2,78.2,62.3
