econ_id,region_id,year,gdp_per_capita,median_household_income,petrol_price,electricity_price,employment_rate,vehicle_ownership_rate,affordability_index,energy_cost_advantage
E000025,RG0003,2019,385243,589968,73.06,6.8,92.4,0.49,38.3,10.74
E000026,RG0003,2020,419340,616119,66.67,6.73,92.9,0.53,36.7,9.91
E000027,RG0003,2021,440801,678152,82.41,6.16,92.5,0.54,38.5,13.38
E000028,RG0003,2022,463250,736713,96.65,6.69,92.6,0.56,39.8,14.45
E000029,RG0003,2023,494862,771468,103.64,6.56,92.8,0.59,39.0,15.8
E000030,RG0003,2024,534877,833065,104.07,6.67,93.4,0.6,38.9,15.6
E000031,RG0003,2025,571069,919493,102.51,7.85,93.4,0.6,40.3,13.06
E000032,RG0003,2026,600655,977218,108.02,8.15,93.5,0.63,40.7,13.25
E000033,RG0003,2027,649085,1039173,109.57,8.24,93.6,0.65,40.0,13.3
E000034,RG0003,2028,696999,1087815,109.99,8.27,93.6,0.65,39.0,13.3
E000035,RG0003,2029,731225,1203233,114.57,8.83,93.2,0.68,41.1,12.98
E000036,RG0003,2030,777886,1300361,114.71,8.02,93.6,0.69,41.8,14.3
E000037,RG0004,2019,353586,528337,72.94,5.71,92.2,0.47,37.4,12.77
E000038,RG0004,2020,376399,554854,70.0,6.58,92.0,0.49,36.9,10.64
E000039,RG0004,2021,403667,610431,84.46,6.86,92.3,0.52,37.8,12.31
E000040,RG0004,2022,429741,641482,100.42,7.15,92.3,0.52,37.3,14.04
E000041,RG0004,2023,449792,697460,101.37,7.07,92.7,0.54,38.8,14.34
E000042,RG0004,2024,479815,734959,100.63,6.96,92.6,0.55,38.3,14.46
E000043,RG0004,2025,513692,803488,103.22,7.93,92.2,0.57,39.1,13.02
E000044,RG0004,2026,553663,877448,107.87,8.04,92.8,0.61,39.6,13.42
E000045,RG0004,2027,592009,934520,111.09,7.28,93.3,0.62,39.5,15.26
E000046,RG0004,2028,624470,1011876,114.64,8.01,92.7,0.63,40.5,14.31
E000047,RG0004,2029,673123,1090137,111.51,8.46,92.8,0.64,40.5,13.18
E000048,RG0004,2030,697170,1173827,113.48,7.72,92.9,0.68,42.1,14.7
E000049,RG0005,2019,392758,600437,73.54,6.66,92.3,0.52,38.2,11.04
E000050,RG0005,2020,429122,651151,66.75,6.43,92.7,0.53,37.9,10.38
E000051,RG0005,2021,454453,687155,87.43,7.11,92.4,0.55,37.8,12.3
E000052,RG0005,2022,489493,764025,95.43,6.27,93.0,0.56,39.0,15.22
E000053,RG0005,2023,508811,811896,102.87,7.59,92.7,0.59,39.9,13.55
E000054,RG0005,2024,546372,851595,105.24,6.64,93.1,0.61,39.0,15.85
E000055,RG0005,2025,583245,944194,105.36,7.67,93.5,0.63,40.5,13.74
E000056,RG0005,2026,636589,965122,110.59,6.96,93.6,0.65,37.9,15.89
E000057,RG0005,2027,662595,1036407,108.65,8.03,93.6,0.66,39.1,13.53
E000058,RG0005,2028,709033,1172266,114.55,8.07,93.7,0.69,41.3,14.19
E000059,RG0005,2029,762531,1258655,116.59,8.69,93.4,0.71,41.3,13.42
E000060,RG0005,2030,820407,1327582,113.27,7.85,93.8,0.7,40.5,14.43
E000061,RG0006,2019,458126,666316,72.24,6.63,93.3,0.57,36.4,10.9
E000062,RG0006,2020,485922,722508,68.49,6.88,93.5,0.59,37.2,9.95
E000063,RG0006,2021,518327,793610,83.91,6.8,93.3,0.61,38.3,12.34
E000064,RG0006,2022,557728,842742,96.84,7.35,93.6,0.6,37.8,13.18
E000065,RG0006,2023,575110,889381,101.37,6.49,93.8,0.63,38.7,15.62
E000066,RG0006,2024,627262,968655,100.46,7.16,94.3,0.66,38.6,14.03
E000067,RG0006,2025,674513,1035674,107.05,6.83,94.0,0.68,38.4,15.67
E000068,RG0006,2026,715936,1102258,105.67,7.51,94.1,0.69,38.5,14.07
E000069,RG0006,2027,767597,1185624,107.8,8.27,94.6,0.72,38.6,13.04
E000070,RG0006,2028,815741,1307614,109.82,7.95,94.8,0.72,40.1,13.81
E000071,RG0006,2029,886383,1372421,113.77,7.88,94.2,0.74,38.7,14.44
E000072,RG0006,2030,949166,1474789,114.61,8.22,94.4,0.76,38.8,13.94
E000073,RG0007,2019,512708,787978,71.2,6.51,94.3,0.6,38.4,10.94
E000074,RG0007,2020,549780,849482,67.62,5.83,94.7,0.65,38.6,11.6
E000075,RG0007,2021,592948,921619,87.74,6.51,94.3,0.65,38.9,13.48
E000076,RG0007,2022,613345,981437,98.9,6.82,94.8,0.68,40.0,14.5
E000077,RG0007,2023,672485,1015590,101.38,7.05,94.3,0.7,37.8,14.38
E000078,RG0007,2024,706033,1131405,101.95,6.53,95.1,0.72,40.1,15.61
E000079,RG0007,2025,777590,1234619,102.52,7.71,94.8,0.73,39.7,13.3
E000080,RG0007,2026,812183,1289683,110.13,7.01,94.7,0.75,39.7,15.71
E000081,RG0007,2027,882796,1406333,109.74,7.88,95.5,0.75,39.8,13.93
E000082,RG0007,2028,929518,1556561,112.17,7.34,95.1,0.79,41.9,15.28
E000083,RG0007,2029,982979,1628371,111.64,8.0,95.6,0.79,41.4,13.96
E000084,RG0007,2030,1071490,1762622,114.88,7.7,95.5,0.81,41.1,14.92
E000085,RG0008,2019,482618,725462,73.02,6.13,93.4,0.59,37.6,11.91
E000086,RG0008,2020,515805,786384,68.89,5.92,93.5,0.6,38.1,11.64
E000087,RG0008,2021,545212,836002,87.52,5.91,94.4,0.61,38.3,14.81
E000088,RG0008,2022,587388,882494,98.91,6.74,93.8,0.63,37.6,14.68
E000089,RG0008,2023,622788,947828,101.09,6.87,93.7,0.65,38.0,14.71
E000090,RG0008,2024,653980,1013069,102.53,7.1,94.5,0.68,38.7,14.44
E000091,RG0008,2025,699855,1100199,107.72,7.48,94.7,0.7,39.3,14.4
E000092,RG0008,2026,755901,1171381,107.17,8.3,94.4,0.72,38.7,12.91
E000093,RG0008,2027,813053,1329454,111.6,7.99,94.7,0.74,40.9,13.97
E000094,RG0008,2028,857534,1423617,113.31,7.83,94.6,0.75,41.5,14.47
E000095,RG0008,2029,940932,1487246,114.64,7.71,95.0,0.78,39.5,14.87
E000096,RG0008,2030,973708,1621164,116.28,8.92,95.5,0.79,41.6,13.04
E000097,RG0009,2019,387112,591995,71.36,5.97,92.8,0.52,38.2,11.95
E000098,RG0009,2020,420220,650570,70.1,6.73,92.6,0.51,38.7,10.42
E000099,RG0009,2021,448996,679709,85.82,5.92,93.2,0.56,37.8,14.5
E000100,RG0009,2022,478370,724952,99.35,6.74,93.1,0.57,37.9,14.74
E000101,RG0009,2023,520814,786105,103.01,7.37,93.0,0.59,37.7,13.98
E000102,RG0009,2024,554632,826863,101.69,6.97,93.2,0.6,37.3,14.59
E000103,RG0009,2025,592229,920183,105.5,7.39,93.7,0.63,38.8,14.28
E000104,RG0009,2026,630730,980912,109.83,8.13,93.9,0.64,38.9,13.51
E000105,RG0009,2027,650525,1048922,112.76,7.22,93.6,0.67,40.3,15.62
E000106,RG0009,2028,705297,1132288,112.68,8.38,93.5,0.67,40.1,13.45
E000107,RG0009,2029,765459,1182547,115.67,8.41,93.4,0.69,38.6,13.75
E000108,RG0009,2030,805673,1331675,114.52,7.9,94.0,0.71,41.3,14.5
E000109,RG0010,2019,375987,579814,72.71,6.84,92.8,0.49,38.6,10.63
E000110,RG0010,2020,411307,619931,67.47,6.32,92.0,0.52,37.7,10.68
E000111,RG0010,2021,438650,675637,87.15,6.96,92.6,0.55,38.5,12.52
E000112,RG0010,2022,457494,726928,98.72,7.29,92.9,0.56,39.7,13.54
E000113,RG0010,2023,500453,751220,102.8,7.22,92.5,0.57,37.5,14.24
E000114,RG0010,2024,537632,799104,105.52,7.84,93.2,0.6,37.2,13.46
E000115,RG0010,2025,557496,909305,104.52,7.0,92.6,0.61,40.8,14.93
E000116,RG0010,2026,611253,932113,108.57,7.1,93.0,0.63,38.1,15.29
E000117,RG0010,2027,629111,1015777,109.38,8.44,92.8,0.65,40.4,12.96
E000118,RG0010,2028,671063,1086706,112.54,7.96,93.3,0.66,40.5,14.14
E000119,RG0010,2029,720919,1165736,111.97,8.46,93.1,0.67,40.4,13.24
E000120,RG0010,2030,775663,1231124,118.76,7.8,93.2,0.7,39.7,15.23
E000121,RG0011,2019,527499,818761,75.19,6.25,94.1,0.65,38.8,12.03
E000122,RG0011,2020,554465,836923,71.13,6.23,94.7,0.64,37.7,11.42
E000123,RG0011,2021,600707,910528,82.92,6.2,95.0,0.66,37.9,13.37
E000124,RG0011,2022,632839,1010733,98.12,6.6,95.1,0.69,39.9,14.87
E000125,RG0011,2023,676321,1077092,99.05,7.05,94.7,0.7,39.8,14.05
E000126,RG0011,2024,730983,1167370,100.22,7.51,94.7,0.73,39.9,13.34
E000127,RG0011,2025,784193,1288129,105.7,7.28,95.2,0.74,41.1,14.52
E000128,RG0011,2026,848768,1389582,105.41,7.84,95.4,0.75,40.9,13.45
E000129,RG0011,2027,889315,1423381,107.22,7.05,95.0,0.78,40.0,15.21
E000130,RG0011,2028,981193,1544951,113.64,7.9,95.5,0.79,39.4,14.38
E000131,RG0011,2029,1029468,1663044,113.46,8.45,96.0,0.82,40.4,13.43
E000132,RG0011,2030,1105171,1844729,115.6,7.81,95.3,0.82,41.7,14.8
E000133,RG0012,2019,481418,727019,75.18,6.71,93.4,0.61,37.8,11.2
E000134,RG0012,2020,518786,776354,69.93,6.04,93.5,0.62,37.4,11.58
E000135,RG0012,2021,559768,863474,83.77,6.16,94.6,0.64,38.6,13.6
E000136,RG0012,2022,594482,934929,97.07,6.72,94.4,0.66,39.3,14.44
E000137,RG0012,2023,628016,985794,98.42,6.8,94.5,0.67,39.2,14.47
E000138,RG0012,2024,674250,1063290,105.59,6.83,94.8,0.68,39.4,15.46
E000139,RG0012,2025,724839,1158811,104.71,7.45,94.1,0.71,40.0,14.06
E000140,RG0012,2026,769214,1204047,106.36,7.96,94.4,0.72,39.1,13.36
E000141,RG0012,2027,827175,1300601,110.92,7.52,95.1,0.74,39.3,14.75
E000142,RG0012,2028,873823,1399205,113.34,7.77,94.5,0.75,40.0,14.59
E000143,RG0012,2029,959196,1498231,112.5,7.84,95.3,0.77,39.0,14.35
E000144,RG0012,2030,1025941,1651445,118.42,7.71,95.2,0.79,40.2,15.36
E000145,RG0013,2019,414363,624945,71.85,6.37,92.9,0.53,37.7,11.28
E000146,RG0013,2020,447229,679519,70.15,7.06,93.4,0.56,38.0,9.94
E000147,RG0013,2021,484390,731412,85.41,6.66,93.4,0.57,37.7,12.82
E000148,RG0013,2022,510606,803156,95.4,6.15,93.3,0.58,39.3,15.51
E000149,RG0013,2023,546640,837201,100.47,6.84,93.3,0.61,38.3,14.69
E000150,RG0013,2024,588076,884948,103.23,7.15,93.2,0.63,37.6,14.44
E000151,RG0013,2025,618539,971177,105.62,7.29,93.2,0.64,39.3,14.49
E000152,RG0013,2026,669012,1081971,108.98,8.26,93.5,0.67,40.4,13.19
E000153,RG0013,2027,700205,1161912,110.5,7.37,93.5,0.68,41.5,14.99
E000154,RG0013,2028,748738,1187356,109.54,7.53,94.2,0.71,39.6,14.55
E000155,RG0013,2029,812335,1283181,113.99,8.22,94.3,0.73,39.5,13.87
E000156,RG0013,2030,857914,1415738,117.45,8.15,94.4,0.74,41.3,14.41
E000157,RG0014,2019,542335,836562,71.76,5.69,95.0,0.64,38.6,12.61
E000158,RG0014,2020,580498,891822,70.96,5.82,94.7,0.68,38.4,12.19
E000159,RG0014,2021,629678,983168,85.24,6.22,95.4,0.67,39.0,13.7
E000160,RG0014,2022,654627,1012199,97.95,6.23,95.4,0.72,38.7,15.72
E000161,RG0014,2023,721036,1089972,101.21,6.59,95.4,0.72,37.8,15.36
E000162,RG0014,2024,776822,1179619,100.58,7.63,95.2,0.74,38.0,13.18
E000163,RG0014,2025,833678,1327629,105.09,7.12,95.2,0.76,39.8,14.76
E000164,RG0014,2026,868751,1440625,107.26,7.29,96.0,0.79,41.5,14.71
E000165,RG0014,2027,945839,1468538,111.52,7.38,95.5,0.8,38.8,15.11
E000166,RG0014,2028,999755,1652212,112.78,7.74,95.7,0.82,41.3,14.57
E000167,RG0014,2029,1065506,1810003,112.34,7.78,95.6,0.84,42.5,14.44
E000168,RG0014,2030,1157355,1848565,115.72,7.78,96.4,0.85,39.9,14.87
E000169,RG0015,2019,358455,552394,75.14,5.65,92.3,0.48,38.5,13.3
E000170,RG0015,2020,384878,593482,71.07,6.32,91.7,0.5,38.6,11.25
E000171,RG0015,2021,413497,627422,86.33,6.67,92.5,0.52,37.9,12.94
E000172,RG0015,2022,445945,678659,100.79,6.19,92.6,0.53,38.0,16.28
E000173,RG0015,2023,479414,731535,99.33,7.46,92.2,0.57,38.1,13.32
E000174,RG0015,2024,507959,766979,105.27,7.42,93.0,0.57,37.7,14.19
E000175,RG0015,2025,536775,817035,105.11,7.42,93.2,0.58,38.1,14.17
E000176,RG0015,2026,570216,888378,109.38,7.66,93.4,0.61,38.9,14.28
E000177,RG0015,2027,621613,993958,108.67,7.44,93.4,0.63,40.0,14.61
E000178,RG0015,2028,655921,1021968,109.58,8.61,93.6,0.64,39.0,12.73
E000179,RG0015,2029,680641,1088368,114.13,8.83,92.8,0.65,40.0,12.93
E000180,RG0015,2030,730968,1173577,116.9,8.83,93.0,0.67,40.1,13.24
E000181,RG0016,2019,364496,532704,71.46,6.36,92.2,0.47,36.5,11.24
E000182,RG0016,2020,388935,593229,70.22,6.59,92.0,0.5,38.1,10.66
E000183,RG0016,2021,412858,619822,84.09,5.94,92.4,0.52,37.5,14.16
E000184,RG0016,2022,439333,684753,96.55,6.16,92.3,0.52,39.0,15.67
E000185,RG0016,2023,472296,738435,103.73,6.33,92.1,0.55,39.1,16.39
E000186,RG0016,2024,488694,792675,102.67,7.82,92.5,0.58,40.6,13.13
E000187,RG0016,2025,536849,829012,105.28,8.02,93.1,0.59,38.6,13.13
E000188,RG0016,2026,572212,892707,107.12,7.91,93.0,0.62,39.0,13.54
E000189,RG0016,2027,598886,933166,109.31,8.34,92.9,0.63,39.0,13.11
E000190,RG0016,2028,644791,1008999,113.83,8.5,92.8,0.65,39.1,13.39
E000191,RG0016,2029,676601,1103472,113.16,7.77,93.3,0.66,40.8,14.56
E000192,RG0016,2030,731109,1209759,117.29,8.05,93.1,0.67,41.4,14.57
E000193,RG0017,2019,345089,530391,75.2,6.09,92.3,0.46,38.4,12.35
E000194,RG0017,2020,368006,575729,69.6,6.43,91.6,0.49,39.1,10.82
E000195,RG0017,2021,396795,616968,84.93,7.05,91.6,0.49,38.9,12.05
E000196,RG0017,2022,426214,640763,97.48,7.25,91.8,0.52,37.6,13.45
E000197,RG0017,2023,447604,694183,98.38,6.68,92.5,0.52,38.8,14.73
E000198,RG0017,2024,485845,766733,104.24,7.54,92.6,0.54,39.5,13.82
E000199,RG0017,2025,507159,802462,104.8,7.09,92.9,0.58,39.6,14.78
E000200,RG0017,2026,544468,877929,110.18,7.48,93.1,0.6,40.3,14.73
E000201,RG0017,2027,578817,895079,111.01,8.26,92.5,0.61,38.7,13.44
E000202,RG0017,2028,624830,967234,112.45,7.33,93.3,0.64,38.7,15.34
E000203,RG0017,2029,670683,1024327,112.43,8.28,92.6,0.65,38.2,13.58
E000204,RG0017,2030,705544,1136406,116.61,7.9,92.7,0.66,40.3,14.76
E000205,RG0018,2019,338909,531646,74.05,5.67,92.0,0.46,39.2,13.06
E000206,RG0018,2020,365515,550915,67.19,6.57,92.0,0.48,37.7,10.23
E000207,RG0018,2021,384173,580336,82.57,6.16,91.9,0.5,37.8,13.4
E000208,RG0018,2022,409078,621479,100.25,6.65,92.5,0.52,38.0,15.08
E000209,RG0018,2023,436691,693660,100.0,6.77,91.9,0.54,39.7,14.77
E000210,RG0018,2024,481524,715147,105.76,6.97,92.1,0.54,37.1,15.17
E000211,RG0018,2025,513795,774833,103.28,7.43,92.9,0.57,37.7,13.9
E000212,RG0018,2026,537834,858421,107.5,7.13,92.7,0.6,39.9,15.08
E000213,RG0018,2027,562187,927025,112.65,8.22,93.0,0.61,41.2,13.7
E000214,RG0018,2028,597822,982308,109.34,8.58,93.0,0.63,41.1,12.74
E000215,RG0018,2029,641746,1069645,115.21,8.64,92.9,0.63,41.7,13.33
E000216,RG0018,2030,678418,1099249,114.95,8.83,92.9,0.67,40.5,13.02
E000217,RG0019,2019,410138,637428,74.62,6.09,92.9,0.54,38.9,12.25
E000218,RG0019,2020,442242,670657,70.19,6.56,93.0,0.55,37.9,10.7
E000219,RG0019,2021,463246,698375,87.8,6.01,92.8,0.55,37.7,14.61
E000220,RG0019,2022,500119,776439,96.77,7.37,92.6,0.6,38.8,13.13
E000221,RG0019,2023,525351,840397,103.43,7.05,93.0,0.59,40.0,14.67
E000222,RG0019,2024,570340,872570,100.75,6.8,93.5,0.63,38.2,14.82
E000223,RG0019,2025,616979,938788,104.01,6.99,93.4,0.64,38.0,14.88
E000224,RG0019,2026,649319,1018493,109.04,7.85,93.8,0.65,39.2,13.89
E000225,RG0019,2027,681881,1114288,111.66,7.11,93.4,0.66,40.9,15.7
E000226,RG0019,2028,732771,1184074,111.64,8.27,93.7,0.68,40.4,13.5
E000227,RG0019,2029,799154,1312675,111.71,8.52,93.8,0.71,41.1,13.11
E000228,RG0019,2030,832244,1341873,117.11,8.61,94.1,0.73,40.3,13.6
E000229,RG0020,2019,442891,663763,74.36,6.87,92.9,0.55,37.5,10.82
E000230,RG0020,2020,473522,731602,66.69,6.95,93.6,0.56,38.6,9.6
E000231,RG0020,2021,506012,800009,84.09,6.23,93.9,0.59,39.5,13.5
E000232,RG0020,2022,548949,822504,97.11,6.61,93.4,0.62,37.5,14.69
E000233,RG0020,2023,570857,911028,101.69,6.45,94.0,0.64,39.9,15.77
E000234,RG0020,2024,626510,977845,103.28,6.98,93.5,0.66,39.0,14.8
E000235,RG0020,2025,658791,1034981,104.02,6.75,94.1,0.68,39.3,15.41
E000236,RG0020,2026,709955,1131735,105.99,7.18,94.1,0.67,39.9,14.76
E000237,RG0020,2027,758084,1186010,112.64,7.99,94.3,0.7,39.1,14.1
E000238,RG0020,2028,805224,1319847,109.46,8.32,94.1,0.71,41.0,13.16
E000239,RG0020,2029,874810,1418259,114.73,7.52,94.5,0.74,40.5,15.26
E000240,RG0020,2030,936292,1505601,116.0,8.61,94.1,0.75,40.2,13.47
E000241,RG0021,2019,459913,702208,70.87,6.03,93.7,0.58,38.2,11.75
E000242,RG0021,2020,477934,741385,71.39,6.63,93.4,0.58,38.8,10.77
E000243,RG0021,2021,527262,786148,85.08,5.94,93.8,0.61,37.3,14.32
E000244,RG0021,2022,545869,865373,95.22,6.44,93.8,0.63,39.6,14.79
E000245,RG0021,2023,584184,911473,101.27,6.48,93.5,0.65,39.0,15.63
E000246,RG0021,2024,643168,975450,103.82,7.85,93.9,0.67,37.9,13.23
E000247,RG0021,2025,681940,1059467,105.88,7.84,93.7,0.69,38.8,13.51
E000248,RG0021,2026,732108,1124031,108.32,7.84,94.3,0.7,38.4,13.82
E000249,RG0021,2027,769236,1210877,111.73,7.71,94.2,0.71,39.4,14.49
E000250,RG0021,2028,840361,1359668,112.7,8.44,94.7,0.73,40.4,13.35
E000251,RG0021,2029,872409,1454327,112.19,8.31,95.1,0.75,41.7,13.5
E000252,RG0021,2030,923484,1542178,117.61,8.9,94.6,0.76,41.7,13.21
E000253,RG0022,2019,346896,526253,73.78,6.74,92.2,0.47,37.9,10.95
E000254,RG0022,2020,358359,550840,67.75,6.67,91.9,0.46,38.4,10.16
E000255,RG0022,2021,383050,577789,85.93,6.39,91.8,0.5,37.7,13.45
E000256,RG0022,2022,405803,616903,98.49,6.94,92.1,0.51,38.0,14.19
E000257,RG0022,2023,441758,693503,101.34,7.25,92.6,0.52,39.2,13.98
E000258,RG0022,2024,466045,704908,101.25,7.37,92.0,0.56,37.8,13.74
E000259,RG0022,2025,504737,786405,106.19,6.73,92.5,0.57,39.0,15.78
E000260,RG0022,2026,528602,835252,109.82,7.86,92.8,0.6,39.5,13.97
E000261,RG0022,2027,575141,894977,109.1,7.46,92.5,0.61,38.9,14.62
E000262,RG0022,2028,603596,971672,112.89,7.55,93.0,0.63,40.2,14.95
E000263,RG0022,2029,631877,995091,113.54,8.49,92.6,0.63,39.4,13.37
E000264,RG0022,2030,673904,1094738,115.1,7.79,92.7,0.66,40.6,14.78
E000265,RG0023,2019,525026,786318,73.06,5.8,94.7,0.62,37.4,12.6
E000266,RG0023,2020,568655,871674,69.73,6.46,94.6,0.64,38.3,10.79
E000267,RG0023,2021,599244,906577,85.57,5.71,94.8,0.66,37.8,14.99
E000268,RG0023,2022,645020,1022955,100.67,7.06,94.8,0.68,39.6,14.26
E000269,RG0023,2023,680462,1071610,102.49,6.2,94.5,0.71,39.4,16.53
E000270,RG0023,2024,728740,1151658,104.45,7.31,95.0,0.73,39.5,14.29
E000271,RG0023,2025,780864,1277255,102.24,7.83,95.1,0.73,40.9,13.06
E000272,RG0023,2026,849045,1371514,106.38,6.73,95.0,0.75,40.4,15.81
E000273,RG0023,2027,889387,1447162,107.93,6.97,95.3,0.76,40.7,15.48
E000274,RG0023,2028,973956,1598322,113.91,8.27,95.4,0.8,41.0,13.77
E000275,RG0023,2029,1027894,1648756,111.4,7.66,95.5,0.8,40.1,14.54
E000276,RG0023,2030,1117155,1794806,115.37,8.8,95.7,0.82,40.2,13.11
E000277,RG0024,2019,494981,783850,75.15,5.75,94.6,0.62,39.6,13.07
E000278,RG0024,2020,545744,843301,66.26,5.5,94.0,0.62,38.6,12.05
E000279,RG0024,2021,583311,901696,86.6,5.9,94.6,0.65,38.6,14.68
E000280,RG0024,2022,618889,946909,95.39,6.02,94.6,0.67,38.3,15.85
E000281,RG0024,2023,658792,1062868,102.99,6.54,94.7,0.69,40.3,15.75
E000282,RG0024,2024,710242,1112532,101.46,7.29,94.6,0.69,39.2,13.92
E000283,RG0024,2025,747510,1181998,104.59,7.05,94.8,0.71,39.5,14.84
E000284,RG0024,2026,803499,1287675,106.87,7.93,95.3,0.74,40.1,13.48
E000285,RG0024,2027,858478,1422546,109.52,7.56,94.9,0.77,41.4,14.49
E000286,RG0024,2028,917550,1530437,113.66,8.18,95.3,0.78,41.7,13.89
E000287,RG0024,2029,1008826,1597552,112.78,7.28,95.0,0.78,39.6,15.49
E000288,RG0024,2030,1054887,1772053,115.23,8.59,95.6,0.8,42.0,13.41
E000289,RG0025,2019,367654,572134,74.22,6.02,92.6,0.49,38.9,12.33
E000290,RG0025,2020,396311,615202,68.36,5.71,92.0,0.5,38.8,11.97
E000291,RG0025,2021,425259,656491,82.43,7.0,92.5,0.53,38.6,11.78
E000292,RG0025,2022,457282,711208,97.83,7.47,92.9,0.55,38.9,13.1
E000293,RG0025,2023,474744,743639,100.58,7.38,93.1,0.56,39.2,13.63
E000294,RG0025,2024,520013,786420,100.37,7.56,92.8,0.59,37.8,13.28
E000295,RG0025,2025,539325,879805,105.48,8.05,92.5,0.61,40.8,13.1
E000296,RG0025,2026,581306,923703,106.7,7.98,93.5,0.63,39.7,13.37
E000297,RG0025,2027,620373,988935,111.33,7.35,93.1,0.63,39.9,15.15
E000298,RG0025,2028,674351,1063823,109.26,7.42,93.7,0.66,39.4,14.73
E000299,RG0025,2029,720976,1162951,115.0,8.26,93.6,0.67,40.3,13.92
E000300,RG0025,2030,772140,1243225,116.17,8.51,93.9,0.7,40.3,13.65
E000301,RG0026,2019,432867,665700,70.85,5.84,93.4,0.56,38.4,12.13
E000302,RG0026,2020,470133,710058,69.9,6.03,93.0,0.56,37.8,11.59
E000303,RG0026,2021,496483,773065,85.2,7.08,93.3,0.58,38.9,12.03
E000304,RG0026,2022,530872,835842,99.48,6.79,93.5,0.59,39.4,14.65
E000305,RG0026,2023,571268,900862,102.29,6.67,93.9,0.63,39.4,15.34
E000306,RG0026,2024,604146,955260,104.51,7.19,93.8,0.64,39.5,14.54
E000307,RG0026,2025,637366,1001862,102.3,8.06,94.3,0.65,39.3,12.69
E000308,RG0026,2026,701150,1119543,107.95,7.9,94.3,0.68,39.9,13.66
E000309,RG0026,2027,742105,1204777,110.92,7.77,94.1,0.71,40.6,14.28
E000310,RG0026,2028,790279,1244907,114.31,7.65,94.0,0.7,39.4,14.94
E000311,RG0026,2029,838036,1337222,113.62,7.6,94.1,0.72,39.9,14.95
E000312,RG0026,2030,902045,1470296,115.13,9.01,94.1,0.74,40.7,12.78
E000313,RG0027,2019,406852,601748,74.62,6.79,93.0,0.51,37.0,10.99
E000314,RG0027,2020,440648,650191,67.38,6.47,92.9,0.55,36.9,10.41
E000315,RG0027,2021,468325,712297,85.19,7.02,93.1,0.55,38.0,12.14
E000316,RG0027,2022,498895,756151,97.76,6.97,93.1,0.57,37.9,14.03
E000317,RG0027,2023,524136,801993,99.62,7.59,93.6,0.58,38.3,13.13
E000318,RG0027,2024,562433,892043,101.5,7.52,93.6,0.62,39.7,13.5
E000319,RG0027,2025,601642,929555,106.37,7.3,93.1,0.64,38.6,14.57
E000320,RG0027,2026,635394,1009132,107.79,7.0,94.0,0.64,39.7,15.4
E000321,RG0027,2027,679242,1115252,109.12,7.48,93.6,0.67,41.0,14.59
E000322,RG0027,2028,730353,1156238,110.78,7.5,93.9,0.69,39.6,14.77
E000323,RG0027,2029,793074,1274026,115.74,8.33,94.1,0.7,40.2,13.89
E000324,RG0027,2030,832906,1391476,113.36,8.92,94.0,0.73,41.8,12.71
E000325,RG0028,2019,439593,650261,71.77,6.39,92.9,0.55,37.0,11.23
E000326,RG0028,2020,469504,687686,66.77,7.06,93.5,0.56,36.6,9.46
