env_id,region_id,year,aqi_score,co2_target_pct,pollution_level,carbon_intensity,green_transition_priority
ENV000068,RG0006,2026,34.9,69.5,Low,0.46,39.0
ENV000069,RG0006,2027,27.1,71.2,Low,0.46,38.1
ENV000070,RG0006,2028,33.6,72.9,Low,0.46,40.0
ENV000071,RG0006,2029,34.6,74.6,Low,0.46,40.7
ENV000072,RG0006,2030,30.6,76.3,Low,0.46,40.6
ENV000073,RG0007,2019,25.0,63.0,Low,0.34,32.8
ENV000074,RG0007,2020,25.0,64.7,Low,0.34,33.4
ENV000075,RG0007,2021,25.0,66.4,Low,0.34,34.0
ENV000076,RG0007,2022,25.0,68.1,Low,0.34,34.6
ENV000077,RG0007,2023,25.0,69.8,Low,0.34,35.2
ENV000078,RG0007,2024,32.4,71.5,Low,0.34,37.1
ENV000079,RG0007,2025,25.0,73.2,Low,0.34,36.4
ENV000080,RG0007,2026,25.0,74.9,Low,0.34,37.0
ENV000081,RG0007,2027,25.4,76.6,Low,0.34,37.7
ENV000082,RG0007,2028,25.0,78.3,Low,0.34,38.2
ENV000083,RG0007,2029,28.0,80.0,Low,0.34,39.3
ENV000084,RG0007,2030,25.0,81.7,Low,0.34,39.4
ENV000085,RG0008,2019,70.0,60.0,Moderate,0.43,41.6
ENV000086,RG0008,2020,73.8,61.7,Moderate,0.43,42.9
ENV000087,RG0008,2021,69.8,63.4,Moderate,0.43,42.8
ENV000088,RG0008,2022,65.7,65.1,Moderate,0.43,42.6
ENV000089,RG0008,2023,67.8,66.8,Moderate,0.43,43.6
ENV000090,RG0008,2024,63.5,68.5,Moderate,0.43,43.4
ENV000091,RG0008,2025,61.8,70.2,Moderate,0.43,43.7
ENV000092,RG0008,2026,70.9,71.9,Moderate,0.43,46.0
ENV000093,RG0008,2027,66.1,73.6,Moderate,0.43,45.7
ENV000094,RG0008,2028,70.4,75.3,Moderate,0.43,47.1
ENV000095,RG0008,2029,71.9,77.0,Moderate,0.43,48.0
ENV000096,RG0008,2030,59.8,78.7,Low,0.43,46.3
ENV000097,RG0009,2019,71.4,38.1,Moderate,0.51,35.5
ENV000098,RG0009,2020,70.6,39.8,Moderate,0.51,36.0
ENV000099,RG0009,2021,74.6,41.5,Moderate,0.51,37.3
ENV000100,RG0009,2022,65.0,43.2,Moderate,0.51,36.2
ENV000101,RG0009,2023,65.7,44.9,Moderate,0.51,36.9
ENV000102,RG0009,2024,68.1,46.6,Moderate,0.51,37.9
ENV000103,RG0009,2025,66.3,48.3,Moderate,0.51,38.2
ENV000104,RG0009,2026,73.3,50.0,Moderate,0.51,40.1
ENV000105,RG0009,2027,71.3,51.7,Moderate,0.51,40.3
ENV000106,RG0009,2028,65.3,53.4,Moderate,0.51,39.8
ENV000107,RG0009,2029,64.4,55.1,Moderate,0.51,40.2
ENV000108,RG0009,2030,69.5,56.8,Moderate,0.51,41.8
ENV000109,RG0010,2019,100.1,38.1,High,0.62,42.8
ENV000110,RG0010,2020,106.1,39.8,High,0.62,44.5
ENV000111,RG0010,2021,109.2,41.5,High,0.62,45.7
ENV000112,RG0010,2022,99.9,43.2,Moderate,0.62,44.5
ENV000113,RG0010,2023,97.0,44.9,Moderate,0.62,44.6
ENV000114,RG0010,2024,96.1,46.6,Moderate,0.62,45.0
ENV000115,RG0010,2025,99.2,48.3,Moderate,0.62,46.2
ENV000116,RG0010,2026,99.6,50.0,Moderate,0.62,46.9
ENV000117,RG0010,2027,100.8,51.7,High,0.62,47.7
ENV000118,RG0010,2028,98.9,53.4,Moderate,0.62,47.9
ENV000119,RG0010,2029,102.6,55.1,High,0.62,49.2
ENV000120,RG0010,2030,100.5,56.8,High,0.62,49.4
ENV000121,RG0011,2019,25.5,63.0,Low,0.32,32.5
ENV000122,RG0011,2020,25.0,64.7,Low,0.32,33.0
ENV000123,RG0011,2021,26.3,66.4,Low,0.32,33.9
ENV000124,RG0011,2022,25.0,68.1,Low,0.32,34.2
ENV000125,RG0011,2023,29.7,69.8,Low,0.32,35.7
ENV000126,RG0011,2024,30.1,71.5,Low,0.32,36.4
ENV000127,RG0011,2025,28.4,73.2,Low,0.32,36.7
ENV000128,RG0011,2026,25.0,74.9,Low,0.32,36.6
ENV000129,RG0011,2027,28.7,76.6,Low,0.32,37.9
ENV000130,RG0011,2028,25.0,78.3,Low,0.32,37.8
ENV000131,RG0011,2029,29.2,80.0,Low,0.32,39.2
ENV000132,RG0011,2030,25.0,81.7,Low,0.32,39.0
ENV000133,RG0012,2019,34.8,60.0,Low,0.42,34.9
ENV000134,RG0012,2020,27.1,61.7,Low,0.42,34.1
ENV000135,RG0012,2021,33.2,63.4,Low,0.42,35.8
ENV000136,RG0012,2022,25.0,65.1,Low,0.42,34.9
ENV000137,RG0012,2023,28.4,66.8,Low,0.42,36.1
ENV000138,RG0012,2024,31.3,68.5,Low,0.42,37.3
ENV000139,RG0012,2025,29.4,70.2,Low,0.42,37.5
ENV000140,RG0012,2026,25.4,71.9,Low,0.42,37.4
ENV000141,RG0012,2027,30.5,73.6,Low,0.42,38.9
ENV000142,RG0012,2028,33.2,75.3,Low,0.42,40.0
ENV000143,RG0012,2029,29.2,77.0,Low,0.42,39.9
ENV000144,RG0012,2030,31.7,78.7,Low,0.42,41.0
ENV000145,RG0013,2019,69.0,37.4,Moderate,0.49,34.5
ENV000146,RG0013,2020,66.4,39.1,Moderate,0.49,34.6
ENV000147,RG0013,2021,72.2,40.8,Moderate,0.49,36.3
ENV000148,RG0013,2022,63.7,42.5,Moderate,0.49,35.3
ENV000149,RG0013,2023,60.7,44.2,Moderate,0.49,35.4
ENV000150,RG0013,2024,69.6,45.9,Moderate,0.49,37.6
ENV000151,RG0013,2025,62.9,47.6,Moderate,0.49,37.0
ENV000152,RG0013,2026,71.1,49.3,Moderate,0.49,39.1
ENV000153,RG0013,2027,58.7,51.0,Low,0.49,37.4
ENV000154,RG0013,2028,68.4,52.7,Moderate,0.49,39.8
ENV000155,RG0013,2029,67.9,54.4,Moderate,0.49,40.3
ENV000156,RG0013,2030,67.7,56.1,Moderate,0.49,40.9
ENV000157,RG0014,2019,25.0,63.0,Low,0.3,32.1
ENV000158,RG0014,2020,25.0,64.7,Low,0.3,32.7
ENV000159,RG0014,2021,27.5,66.4,Low,0.3,33.7
ENV000160,RG0014,2022,27.8,68.1,Low,0.3,34.4
ENV000161,RG0014,2023,25.0,69.8,Low,0.3,34.5
ENV000162,RG0014,2024,26.9,71.5,Low,0.3,35.4
ENV000163,RG0014,2025,25.3,73.2,Low,0.3,35.7
ENV000164,RG0014,2026,25.0,74.9,Low,0.3,36.3
ENV000165,RG0014,2027,25.0,76.6,Low,0.3,36.9
ENV000166,RG0014,2028,25.4,78.3,Low,0.3,37.6
ENV000167,RG0014,2029,25.0,80.0,Low,0.3,38.1
ENV000168,RG0014,2030,25.0,81.7,Low,0.3,38.7
ENV000169,RG0015,2019,84.7,37.8,Moderate,0.54,38.4
ENV000170,RG0015,2020,75.3,39.5,Moderate,0.54,37.3
ENV000171,RG0015,2021,82.3,41.2,Moderate,0.54,39.2
ENV000172,RG0015,2022,82.8,42.9,Moderate,0.54,39.9
ENV000173,RG0015,2023,80.2,44.6,Moderate,0.54,40.0
ENV000174,RG0015,2024,74.9,46.3,Moderate,0.54,39.6
ENV000175,RG0015,2025,69.4,48.0,Moderate,0.54,39.2
ENV000176,RG0015,2026,79.0,49.7,Moderate,0.54,41.6
ENV000177,RG0015,2027,68.6,51.4,Moderate,0.54,40.2
ENV000178,RG0015,2028,70.2,53.1,Moderate,0.54,41.1
ENV000179,RG0015,2029,73.2,54.8,Moderate,0.54,42.3
ENV000180,RG0015,2030,64.9,56.5,Moderate,0.54,41.4
ENV000181,RG0016,2019,85.0,37.8,Moderate,0.54,38.5
ENV000182,RG0016,2020,77.0,39.5,Moderate,0.54,37.6
ENV000183,RG0016,2021,82.4,41.2,Moderate,0.54,39.2
ENV000184,RG0016,2022,75.6,42.9,Moderate,0.54,38.5
ENV000185,RG0016,2023,71.9,44.6,Moderate,0.54,38.4
ENV000186,RG0016,2024,76.8,46.3,Moderate,0.54,40.0
ENV000187,RG0016,2025,68.4,48.0,Moderate,0.54,39.0
ENV000188,RG0016,2026,80.2,49.7,Moderate,0.54,41.8
ENV000189,RG0016,2027,76.5,51.4,Moderate,0.54,41.7
ENV000190,RG0016,2028,72.2,53.1,Moderate,0.54,41.5
ENV000191,RG0016,2029,70.3,54.8,Moderate,0.54,41.8
ENV000192,RG0016,2030,77.1,56.5,Moderate,0.54,43.6
ENV000193,RG0017,2019,84.4,35.6,Moderate,0.56,37.9
ENV000194,RG0017,2020,80.2,37.3,Moderate,0.56,37.8
ENV000195,RG0017,2021,82.3,39.0,Moderate,0.56,38.7
ENV000196,RG0017,2022,87.2,40.7,Moderate,0.56,40.3
ENV000197,RG0017,2023,86.6,42.4,Moderate,0.56,40.7
ENV000198,RG0017,2024,77.3,44.1,Moderate,0.56,39.6
ENV000199,RG0017,2025,82.2,45.8,Moderate,0.56,41.1
ENV000200,RG0017,2026,81.7,47.5,Moderate,0.56,41.6
ENV000201,RG0017,2027,76.9,49.2,Moderate,0.56,41.3
ENV000202,RG0017,2028,74.5,50.9,Moderate,0.56,41.5
ENV000203,RG0017,2029,82.4,52.6,Moderate,0.56,43.6
ENV000204,RG0017,2030,74.6,54.3,Moderate,0.56,42.7
ENV000205,RG0018,2019,86.5,36.6,Moderate,0.56,38.7
ENV000206,RG0018,2020,86.8,38.3,Moderate,0.56,39.3
ENV000207,RG0018,2021,79.7,40.0,Moderate,0.56,38.6
ENV000208,RG0018,2022,88.2,41.7,Moderate,0.56,40.8
ENV000209,RG0018,2023,74.8,43.4,Moderate,0.56,38.9
ENV000210,RG0018,2024,81.4,45.1,Moderate,0.56,40.7
ENV000211,RG0018,2025,78.6,46.8,Moderate,0.56,40.8
ENV000212,RG0018,2026,80.2,48.5,Moderate,0.56,41.7
ENV000213,RG0018,2027,71.9,50.2,Moderate,0.56,40.8
ENV000214,RG0018,2028,83.3,51.9,Moderate,0.56,43.5
ENV000215,RG0018,2029,77.4,53.6,Moderate,0.56,43.0
ENV000216,RG0018,2030,80.4,55.3,Moderate,0.56,44.1
ENV000217,RG0019,2019,104.2,38.7,High,0.59,43.2
ENV000218,RG0019,2020,96.9,40.4,Moderate,0.59,42.5
ENV000219,RG0019,2021,102.4,42.1,High,0.59,44.1
ENV000220,RG0019,2022,103.0,43.8,High,0.59,44.8
ENV000221,RG0019,2023,100.0,45.5,High,0.59,44.8
ENV000222,RG0019,2024,100.2,47.2,High,0.59,45.5
ENV000223,RG0019,2025,93.2,48.9,Moderate,0.59,44.8
ENV000224,RG0019,2026,89.5,50.6,Moderate,0.59,44.7
ENV000225,RG0019,2027,98.9,52.3,Moderate,0.59,47.0
ENV000226,RG0019,2028,94.5,54.0,Moderate,0.59,46.8
ENV000227,RG0019,2029,89.9,55.7,Moderate,0.59,46.6
ENV000228,RG0019,2030,86.9,57.4,Moderate,0.59,46.6
ENV000229,RG0020,2019,74.4,58.4,Moderate,0.46,42.4
ENV000230,RG0020,2020,79.0,60.1,Moderate,0.46,43.8
ENV000231,RG0020,2021,71.1,61.8,Moderate,0.46,43.0
ENV000232,RG0020,2022,79.2,63.5,Moderate,0.46,45.1
ENV000233,RG0020,2023,70.5,65.2,Moderate,0.46,44.1
ENV000234,RG0020,2024,69.9,66.9,Moderate,0.46,44.6
ENV000235,RG0020,2025,66.1,68.6,Moderate,0.46,44.5
ENV000236,RG0020,2026,71.2,70.3,Moderate,0.46,46.0
ENV000237,RG0020,2027,73.4,72.0,Moderate,0.46,47.0
ENV000238,RG0020,2028,69.5,73.7,Moderate,0.46,46.9
ENV000239,RG0020,2029,72.2,75.4,Moderate,0.46,48.0
ENV000240,RG0020,2030,69.5,77.1,Moderate,0.46,48.1
ENV000241,RG0021,2019,75.6,60.0,Moderate,0.45,43.0
ENV000242,RG0021,2020,70.9,61.7,Moderate,0.45,42.7
ENV000243,RG0021,2021,66.1,63.4,Moderate,0.45,42.4
ENV000244,RG0021,2022,73.4,65.1,Moderate,0.45,44.4
ENV000245,RG0021,2023,72.4,66.8,Moderate,0.45,44.8
ENV000246,RG0021,2024,68.5,68.5,Moderate,0.45,44.7
ENV000247,RG0021,2025,71.8,70.2,Moderate,0.45,45.9
ENV000248,RG0021,2026,62.6,71.9,Moderate,0.45,44.8
ENV000249,RG0021,2027,66.5,73.6,Moderate,0.45,46.1
ENV000250,RG0021,2028,64.4,75.3,Moderate,0.45,46.3
ENV000251,RG0021,2029,64.4,77.0,Moderate,0.45,46.9
ENV000252,RG0021,2030,64.9,78.7,Moderate,0.45,47.6
ENV000253,RG0022,2019,87.7,37.5,Moderate,0.57,39.4
ENV000254,RG0022,2020,89.3,39.2,Moderate,0.57,40.3
ENV000255,RG0022,2021,83.5,40.9,Moderate,0.57,39.8
ENV000256,RG0022,2022,84.7,42.6,Moderate,0.57,40.6
ENV000257,RG0022,2023,79.4,44.3,Moderate,0.57,40.3
ENV000258,RG0022,2024,75.1,46.0,Moderate,0.57,40.1
ENV000259,RG0022,2025,81.4,47.7,Moderate,0.57,41.8
ENV000260,RG0022,2026,71.3,49.4,Moderate,0.57,40.6
ENV000261,RG0022,2027,75.2,51.1,Moderate,0.57,41.9
ENV000262,RG0022,2028,70.7,52.8,Moderate,0.57,41.6
ENV000263,RG0022,2029,73.4,54.5,Moderate,0.57,42.7
ENV000264,RG0022,2030,80.2,56.2,Moderate,0.57,44.6
ENV000265,RG0023,2019,29.5,63.0,Low,0.32,33.3
ENV000266,RG0023,2020,25.0,64.7,Low,0.32,33.0
ENV000267,RG0023,2021,29.0,66.4,Low,0.32,34.4
ENV000268,RG0023,2022,31.4,68.1,Low,0.32,35.4
ENV000269,RG0023,2023,28.9,69.8,Low,0.32,35.6
ENV000270,RG0023,2024,27.7,71.5,Low,0.32,35.9
ENV000271,RG0023,2025,25.0,73.2,Low,0.32,36.0
ENV000272,RG0023,2026,28.3,74.9,Low,0.32,37.2
ENV000273,RG0023,2027,25.0,76.6,Low,0.32,37.2
ENV000274,RG0023,2028,25.0,78.3,Low,0.32,37.8
ENV000275,RG0023,2029,25.0,80.0,Low,0.32,38.4
ENV000276,RG0023,2030,25.0,81.7,Low,0.32,39.0
ENV000277,RG0024,2019,25.0,60.0,Low,0.34,31.7
ENV000278,RG0024,2020,25.0,61.7,Low,0.34,32.3
ENV000279,RG0024,2021,30.5,63.4,Low,0.34,33.9
ENV000280,RG0024,2022,25.0,65.1,Low,0.34,33.5
ENV000281,RG0024,2023,28.0,66.8,Low,0.34,34.7
ENV000282,RG0024,2024,27.9,68.5,Low,0.34,35.3
ENV000283,RG0024,2025,25.0,70.2,Low,0.34,35.3
ENV000284,RG0024,2026,27.6,71.9,Low,0.34,36.4
ENV000285,RG0024,2027,32.1,73.6,Low,0.34,37.8
ENV000286,RG0024,2028,26.6,75.3,Low,0.34,37.4
ENV000287,RG0024,2029,25.0,77.0,Low,0.34,37.7
ENV000288,RG0024,2030,31.1,78.7,Low,0.34,39.4
ENV000289,RG0025,2019,72.6,36.6,Moderate,0.53,35.6
ENV000290,RG0025,2020,72.9,38.3,Moderate,0.53,36.2
ENV000291,RG0025,2021,81.7,40.0,Moderate,0.53,38.5
ENV000292,RG0025,2022,80.5,41.7,Moderate,0.53,38.8
ENV000293,RG0025,2023,73.9,43.4,Moderate,0.53,38.2
ENV000294,RG0025,2024,79.1,45.1,Moderate,0.53,39.8
ENV000295,RG0025,2025,71.8,46.8,Moderate,0.53,39.0
ENV000296,RG0025,2026,74.2,48.5,Moderate,0.53,40.1
ENV000297,RG0025,2027,75.9,50.2,Moderate,0.53,41.0
ENV000298,RG0025,2028,73.2,51.9,Moderate,0.53,41.1
ENV000299,RG0025,2029,68.4,53.6,Moderate,0.53,40.8
ENV000300,RG0025,2030,72.1,55.3,Moderate,0.53,42.1
ENV000301,RG0026,2019,79.5,49.4,Moderate,0.57,42.1
ENV000302,RG0026,2020,81.0,51.1,Moderate,0.57,42.9
ENV000303,RG0026,2021,86.4,52.8,Moderate,0.57,44.5
ENV000304,RG0026,2022,80.2,54.5,Moderate,0.57,44.0
ENV000305,RG0026,2023,83.3,56.2,Moderate,0.57,45.2
ENV000306,RG0026,2024,80.4,57.9,Moderate,0.57,45.2
ENV000307,RG0026,2025,84.0,59.6,Moderate,0.57,46.5
ENV000308,RG0026,2026,82.1,61.3,Moderate,0.57,46.8
ENV000309,RG0026,2027,78.0,63.0,Moderate,0.57,46.6
ENV000310,RG0026,2028,72.5,64.7,Moderate,0.57,46.2
ENV000311,RG0026,2029,74.2,66.4,Moderate,0.57,47.1
ENV000312,RG0026,2030,79.2,68.1,Moderate,0.57,48.6
ENV000313,RG0027,2019,73.7,38.7,Moderate,0.5,36.0
ENV000314,RG0027,2020,72.3,40.4,Moderate,0.5,36.3
ENV000315,RG0027,2021,75.6,42.1,Moderate,0.5,37.6
ENV000316,RG0027,2022,64.7,43.8,Moderate,0.5,36.1
ENV000317,RG0027,2023,67.8,45.5,Moderate,0.5,37.3
ENV000318,RG0027,2024,71.8,47.2,Moderate,0.5,38.7
ENV000319,RG0027,2025,71.2,48.9,Moderate,0.5,39.1
ENV000320,RG0027,2026,65.2,50.6,Moderate,0.5,38.6
ENV000321,RG0027,2027,70.5,52.3,Moderate,0.5,40.2
ENV000322,RG0027,2028,70.9,54.0,Moderate,0.5,40.9
ENV000323,RG0027,2029,61.4,55.7,Moderate,0.5,39.7
ENV000324,RG0027,2030,59.2,57.4,Low,0.5,39.9
ENV000325,RG0028,2019,87.4,48.2,Moderate,0.57,43.1
ENV000326,RG0028,2020,89.5,49.9,Moderate,0.57,44.1
ENV000327,RG0028,2021,86.1,51.6,Moderate,0.57,44.1
ENV000328,RG0028,2022,82.1,53.3,Moderate,0.57,43.9
ENV000329,RG0028,2023,85.1,55.0,Moderate,0.57,45.1
ENV000330,RG0028,2024,85.9,56.7,Moderate,0.57,45.8
ENV000331,RG0028,2025,85.6,58.4,Moderate,0.57,46.4
ENV000332,RG0028,2026,88.9,60.1,Moderate,0.57,47.6
ENV000333,RG0028,2027,76.9,61.8,Moderate,0.57,46.0
ENV000334,RG0028,2028,81.4,63.5,Moderate,0.57,47.4
ENV000335,RG0028,2029,79.0,65.2,Moderate,0.57,47.6
ENV000336,RG0028,2030,80.6,66.9,Moderate,0.57,48.5
ENV000337,RG0029,2019,70.0,63.0,Moderate,0.29,40.2
ENV000338,RG0029,2020,64.0,64.7,Moderate,0.29,39.7
ENV000339,RG0029,2021,67.0,66.4,Moderate,0.29,40.9
ENV000340,RG0029,2022,71.9,68.1,Moderate,0.29,42.4
ENV000341,RG0029,2023,65.6,69.8,Moderate,0.29,41.8
ENV000342,RG0029,2024,63.2,71.5,Moderate,0.29,42.0
ENV000343,RG0029,2025,64.8,73.2,Moderate,0.29,42.9
ENV000344,RG0029,2026,60.5,74.9,Moderate,0.29,42.7
ENV000345,RG0029,2027,68.6,76.6,Moderate,0.29,44.8
ENV000346,RG0029,2028,58.7,78.3,Low,0.29,43.5
ENV000347,RG0029,2029,61.6,80.0,Moderate,0.29,44.7
ENV000348,RG0029,2030,68.7,81.7,Moderate,0.29,46.6
ENV000349,RG0030,2019,94.3,37.8,Moderate,0.54,40.2
ENV000350,RG0030,2020,79.6,39.5,Moderate,0.54,38.1
ENV000351,RG0030,2021,80.2,41.2,Moderate,0.54,38.8
ENV000352,RG0030,2022,91.0,42.9,Moderate,0.54,41.4
ENV000353,RG0030,2023,86.9,44.6,Moderate,0.54,41.2
ENV000354,RG0030,2024,87.8,46.3,Moderate,0.54,42.0
ENV000355,RG0030,2025,78.2,48.0,Moderate,0.54,40.8
ENV000356,RG0030,2026,86.6,49.7,Moderate,0.54,43.0
ENV000357,RG0030,2027,86.7,51.4,Moderate,0.54,43.6
ENV000358,RG0030,2028,72.5,53.1,Moderate,0.54,41.6
ENV000359,RG0030,2029,74.3,54.8,Moderate,0.54,42.5
ENV000360,RG0030,2030,71.4,56.5,Moderate,0.54,42.6
ENV000361,RG0031,2019,90.5,37.2,Moderate,0.59,40.1
ENV000362,RG0031,2020,94.9,38.9,Moderate,0.59,41.6
ENV000363,RG0031,2021,101.6,40.6,High,0.59,43.4
ENV000364,RG0031,2022,94.9,42.3,Moderate,0.59,42.8
ENV000365,RG0031,2023,93.8,44.0,Moderate,0.59,43.2
ENV000366,RG0031,2024,97.0,45.7,Moderate,0.59,44.4
ENV000367,RG0031,2025,92.9,47.4,Moderate,0.59,44.2
ENV000368,RG0031,2026,91.4,49.1,Moderate,0.59,44.5
ENV000369,RG0031,2027,93.7,50.8,Moderate,0.59,45.5
ENV000370,RG0031,2028,86.5,52.5,Moderate,0.59,44.8
ENV000371,RG0031,2029,88.5,54.2,Moderate,0.59,45.8
ENV000372,RG0031,2030,80.4,55.9,Moderate,0.59,44.9
ENV000373,RG0032,2019,40.7,60.0,Low,0.41,35.8
ENV000374,RG0032,2020,35.7,61.7,Low,0.41,35.5
ENV000375,RG0032,2021,46.9,63.4,Low,0.41,38.2
ENV000376,RG0032,2022,43.3,65.1,Low,0.41,38.1
ENV000377,RG0032,2023,38.4,66.8,Low,0.41,37.8
ENV000378,RG0032,2024,46.8,68.5,Low,0.41,40.0
ENV000379,RG0032,2025,35.7,70.2,Low,0.41,38.5
ENV000380,RG0032,2026,36.9,71.9,Low,0.41,39.3
ENV000381,RG0032,2027,38.3,73.6,Low,0.41,40.2
ENV000382,RG0032,2028,40.9,75.3,Low,0.41,41.3
ENV000383,RG0032,2029,38.5,77.0,Low,0.41,41.4
ENV000384,RG0032,2030,33.4,78.7,Low,0.41,41.1
ENV000385,RG0033,2019,63.1,39.0,Moderate,0.48,33.8
ENV000386,RG0033,2020,60.4,40.7,Moderate,0.48,33.9
ENV000387,RG0033,2021,72.3,42.4,Moderate,0.48,36.7
ENV000388,RG0033,2022,58.5,44.1,Low,0.48,34.7
ENV000389,RG0033,2023,59.8,45.8,Low,0.48,35.6
ENV000390,RG0033,2024,65.5,47.5,Moderate,0.48,37.2
ENV000391,RG0033,2025,57.7,49.2,Low,0.48,36.4
ENV000392,RG0033,2026,60.8,50.9,Moderate,0.48,37.6
ENV000393,RG0033,2027,57.9,52.6,Low,0.48,37.6
ENV000394,RG0033,2028,65.4,54.3,Moderate,0.48,39.6
ENV000395,RG0033,2029,63.8,56.0,Moderate,0.48,39.9
ENV000396,RG0033,2030,66.0,57.7,Moderate,0.48,40.9
ENV000397,RG0034,2019,105.2,35.6,High,0.58,42.1
ENV000398,RG0034,2020,97.1,37.3,Moderate,0.58,41.2
ENV000399,RG0034,2021,102.6,39.0,High,0.58,42.9
ENV000400,RG0034,2022,89.2,40.7,Moderate,0.58,41.0
ENV000401,RG0034,2023,97.2,42.4,Moderate,0.58,43.1
ENV000402,RG0034,2024,90.1,44.1,Moderate,0.58,42.3
ENV000403,RG0034,2025,97.9,45.8,Moderate,0.58,44.4
ENV000404,RG0034,2026,96.2,47.5,Moderate,0.58,44.7
ENV000405,RG0034,2027,83.6,49.2,Moderate,0.58,42.9
ENV000406,RG0034,2028,92.0,50.9,Moderate,0.58,45.1
